विराट	virat
बीजापुर	bijapur
विधिक	legal
असुरक्षित	insecure
असुरक्षित	unsafe
वृन्दावन	vrindavan
रेखीय	linear
शहद	honey
अम्लीय	acidic
ऑपरेटर	operator
ऑपरेटर	operators
नल	null
प्रेसीडेंसी	presidency
कुक	cook
मनी	money
मनी	mani
नारा	slogan
चढ़	rust
सेक्टर	sector
सेक्टर	sectors
महासागरीय	oceania
क्रियाशील	active
क्रियाशील	adjective
बैठकों	meetings
बैठकों	sittings
भट्ठी	furnace
रघुनाथ	raghunath
कारें	cars
क्योकि	because
सभ्य	decent
विकलांगता	disability
दरिया	darya
अनजाने	unknowingly
नोट्स	notes
विलास	vilas
सहारनपुर	saharanpur
कहें	say
सुधीर	sudhir
एव	ave
एव	ew
एव	av
सामी	sami
तिरुपति	tirupati
धर्मशास्त्र	theology
सीखा	learned
आर्क	arc
विश्वामित्र	vishwamitra
ट्रम्प	trump
मौद्रिक	monetary
यीशु	jesus
चश्मे	goggles
चश्मे	eyeglasses
चश्मे	glasses
एक्यूपंक्चर	acupuncture
प्लूटो	pluto
डेनियल	daniel
डेनियल	danilo
थोक	wholesale
पैरिस	paris
कामयाबी	success
प्रोटोटाइप	prototype
अभय	abhay
सिलसिले	silas
कुरु	kuru
फर्क	distinguish
फर्क	difference
इयान	ian
दुग्ध	dairy
भयभीत	scared
भयभीत	afraid
वसूली	recovery
मौन	silenced
मौन	muted
मौन	mute
मौन	tacit
मौन	silence
डिप्लोमा	diploma
घटा	decrease
कुलपति	vc
अमरीश	amrish
पॉइंट	points
पॉइंट	point
त्वरण	acceleration
जमैका	jamaica
स्केल	scale
मुंशी	munshi
मक्खन	butter
साम्राज्यवाद	imperialism
सूत	sut
सूत	yarn
सूत	cotton
इज़राइल	israel
वैधता	legality
वैधता	validity
अनन्य	exclusive
सीना	cena
मिथक	myth
श्रृंगार	makeup
प्रावधानों	provisions
नतीजा	fallout
अर्ल	earl
वेदान्त	vedanta
आवंटित	allotted
निर्देशिका	directory
निर्देशिका	index
निर्देशिका	directories
आंग्ल	anglo
समता	parity
समता	equality
समता	samata
एवेन्यू	avenue
बेरोजगारी	unemployment
लत	addiction
लत	addicting
जुर्माना	fine
जुर्माना	fines
क़ुरान	quran
पूर्णता	completion
पूर्णता	perfection
ओमान	oman
लोकपाल	lokpal
मार्केटिंग	marketing
पीड़ितों	victims
शक्तियां	powers
शक्तियां	forces
बादलों	clouds
चतुर्भुज	quadrilateral
चतुर्भुज	rectangle
चीता	cheetah
चीता	leopard
मूक	muted
मूक	silent
मूक	mute
लीन	lyn
प्रतिभाशाली	genius
प्रतिभाशाली	talented
पनीर	cheese
पनीर	paneer
मालवीय	malviya
स्मार्ट	smart
नियोक्ता	employers
नियोक्ता	employer
पश्तो	pashto
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	luminous
चमकदार	shiny
चमकदार	dazzling
नाड़ी	pulse
कादर	kader
स्पीकर	speaker
गैसें	gases
सहभागिता	engagement
सहभागिता	interaction
यों	plank
गतिविधियाँ	activities
डीडी	dd
कल्कि	kalki
इसराइल	israel
वाट	watt
वाट	wat
कच्छ	kutch
कोच्चि	kochi
कृषक	farmers
संख्यात्मक	numeration
इंडीज़	indies
ब्राउजर	browser
गुदा	anus
गुदा	anal
वैश्य	vaishya
टीकाकरण	vaccination
बीघा	bigha
मूर्तिकला	sculpture
शाश्वत	eternity
किरणें	rays
वैश्वीकरण	globalization
पूना	poona
बैग	bag
बैग	bags
नर्तक	dancers
नर्तक	dancer
पहुँचकर	afflict
ग्लूकोज	glucose
नीतियाँ	policies
प्रतिभागियों	participants
दत्ता	datta
दत्ता	dutta
पढ़ना	reading
आपरेशन	operation
ब्रॉडबैंड	broadband
मैनुअल	manual
दर्जन	dozen
सुखद	enjoyable
सुखद	pleasant
सस्ती	affordable
सस्ती	cheap
गन्ना	sugarcane
रणवीर	ranvir
रणवीर	ranveer
राजपूतों	rajputs
बेखम	beckham
पोषित	nourish
वासुदेव	vasudev
स्याही	ink
रॉस	ross
हल्दी	turmeric
हवाओं	winds
परम्पराओं	traditions
पूछे	asking
पूछे	asked
सेब	apple
शत्रुओं	haters
रो	rho
रो	crying
पुस्तकालयों	libraries
पुस्तकालयों	library
बालाजी	balaji
पांडवों	pandavas
चौकी	checkpoint
चौकी	outpost
बहनों	sisters
अश्लील	porn
आपात	emergency
रेसलमेनिया	wrestlemania
नामीबिया	namibia
स्त्रियाँ	women
एनी	annie
मामा	mama
मामा	uncle
रूपांतर	variant
नगरीय	urban
जैकी	jackie
जैकी	jacky
क्रोधित	aggravated
क्रोधित	furious
क्रोधित	angry
तात्कालिक	urgent
तात्कालिक	immediate
तांत्रिक	tantric
हुक्म	nod
हलके	lightly
कमांड	commands
कमांड	command
कोबेन	cobain
विवेकानन्द	vivekananda
धोनी	dhoni
बुराई	wickedness
बुराई	evil
टाइपिंग	typing
उत्तेजक	provocative
उत्तेजक	stimulant
दशमलव	decimal
काई	kai
हमे	us
क्रूर	cruel
क्रूर	brutal
जोनाथन	jonathan
हस्त	hasta
हस्त	handmade
गढ़ी	garhi
गोपीनाथ	gopinath
फ्लाइट	flight
सिकन्दर	sikander
निकटता	proximity
निकटता	closeness
मीणा	meena
सैर	promenade
सैर	walks
सैर	walk
चिकनी	smooth
चिकनी	greasy
कैनेडी	kennedy
टाई	tie
विदेशियों	foreigners
अनुवादित	translated
करोड़ों	myriad
इंजीनियरों	engineers
धनबाद	dhanbad
गा	sing
गा	ga
पूछताछ	inquiry
पूछताछ	inquiries
सर्पिल	spiral
परिशिष्ट	appendix
गवाही	testify
गवाही	testimony
वॉकर	walker
लेआउट	layout
कैदियों	prisoners
समाविष्ट	embodied
अरविंद	aravind
अरविंद	arvind
फिजी	fiji
हुक	hook
रिटर्न	returns
रिटर्न	return
प्लैटिनम	platinum
फिल	phil
फिलीपींस	philippines
दीवारें	walls
मुंडे	munde
लोकमान्य	lokmanya
सपाट	flat
नक़ल	copy
नक़ल	copies
मुरलीधरन	muralitharan
फ्रेमवर्क	framework
देशभक्ति	patriotism
केन्या	kenya
बर्बाद	wasting
बर्बाद	waste
महानदी	mahanadi
बिड़ला	birla
कस्टम	customs
कस्टम	custom
अकादमिक	academic
गोमती	gomti
शेन	shane
असीम	asim
असीम	infinitely
असीम	endless
एकजुट	unite
कोलेस्ट्रॉल	cholesterol
दांते	dante
सीबीआई	cbi
किंगफिशर	kingfisher
बगीचे	garden
मुराद	murad
युग्म	paired
ईमान	faith
भट्टी	furnace
पोटैशियम	potassium
केली	kelly
केली	kaylee
लोकगीत	folklore
सर्बिया	serbia
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	secular
दृष्टिगोचर	visible
तोप	cannon
दूरभाष	telephone
शेंगेन	schengen
दुल्हन	bride
आंत्र	typhoid
ओबेरॉय	oberoi
जस्ता	zinc
उड़	fly
गुजरता	passes
आईपी	ip
माली	maldives
माली	gardener
माली	mali
परियोजनाएं	projects
सिएटल	seattle
जन्मस्थान	birthplace
प्रिया	priya
टायर	tires
टायर	tyres
टायर	tyre
टायर	tire
बाँस	bamboo
रोहिणी	rohini
सुधारक	reformer
अठारह	eighteen
उत्खनन	excavation
उन्नयन	exaltation
उन्नयन	upgrade
उन्नयन	elevation
पेंशन	pension
गरिमा	dignity
धागे	yarn
बताना	tell
सिलेंडर	cylinders
मैक्सिकन	mexican
देशो	countries
उर्वर	exuberant
खोपड़ी	skull
कोलम्बिया	colombia
छत्रपति	chhatrapati
गोलियों	gunshots
विद्रोहियों	rebels
पट्टिका	pallet
कैसा	how
स्टीवन	steven
टेल	tale
टेल	tail
बालिका	balika
कबीले	tribe
सूर्योदय	sunrise
रणनीतिक	strategic
रणनीतिक	strategically
रणनीतिक	tactical
झटके	shocks
रीड	reed
प्रक्षेप	projection
पर्यवेक्षण	supervision
इसरो	isro
एमी	amy
एमी	emmy
रवीन्द्र	ravindra
प्लेटो	plato
मीन	pisces
कनाडाई	canadian
रिसाव	leaks
रिसाव	leak
बाजीराव	bajirao
अनावरण	unveiled
निषिद्ध	forbidden
निषिद्ध	prohibited
सेम	bean
सेम	beans
सेम	sem
इटावा	etawah
रॉन	ron
मंडप	mandapa
वैद्य	vaidya
शोधन	refining
बरसात	shower
बरसात	rainy
बरसात	rain
बनर्जी	banerjee
इंटेल	intel
फास्ट	fast
यथार्थवाद	realism
मोहित	mohit
उर्फ़	urf
बाह	bah
तालिबान	taliban
नेताजी	netaji
दर्शनशास्त्र	philosophy
स्वादिष्ट	tasty
स्वादिष्ट	yummy
स्वादिष्ट	delicious
ज्वाला	flame
ईंटों	brick
कर्ज	debt
सलाद	lettuce
सलाद	salads
सलाद	salad
जलन	jealous
जलन	inflammatory
जलन	irritation
शौकिया	amateur
अनूठा	immersive
अनूठा	quaint
अनूठा	unique
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	puzzles
पहेली	puzzle
पहेली	enigma
रक्तस्राव	haemorrhage
चादर	shawl
चादर	sheet
जामा	jama
नासिक	nashik
फ्रैंकलिन	franklin
एथिलीन	ethylene
सेकेंड	seconds
सेकेंड	second
आयुध	ordnance
चढ़ाव	lows
मानविकी	humanities
प्रवीण	pravin
प्रवीण	praveen
महापौर	mayor
आयताकार	rectangle
आयताकार	rectangular
प्रस्तावना	introduction
प्रस्तावना	prologue
प्रस्तावना	preamble
मैनहटन	manhattan
मॉरीशस	mauritius
गंगाधर	gangadhar
लावा	lava
बाधाओं	barriers
बाधाओं	obstacles
माइग्रेन	migraine
कुंवर	kunwar
परिधान	dress
परिधान	costumes
परिधान	garment
परिधान	apparel
गोलीबारी	shootout
गोलीबारी	shooting
हब	hub
जग	world
जग	jag
पम्प	pump
मातृ	maternal
बायर	bayer
नाल	naal
नाल	horseshoe
पवित्रता	sanctity
पवित्रता	purity
पवित्रता	holiness
नूतन	nutan
लाभप्रद	profitable
रोचेस्टर	rochester
श्रेष्ठता	superiority
मुलाक़ात	hangout
डोनाल्ड	donald
रमन	raman
सीढ़ी	ladder
पटियाला	patiala
प्रतिकृति	pattern
प्रतिकृति	replica
प्रतिकृति	replicas
घराने	genres
ताड़	palm
प्रवृति	penchant
धमाके	bang
सीटी	whistle
सीटी	ct
परोसा	served
कार्टर	carter
सिरदर्द	headache
कट्टर	dogmatic
कट्टर	staunch
कट्टर	rabid
उपनिवेशवाद	colonialism
उपनिवेशवाद	colony
सैंडविच	sandwich
सैंडविच	sandwiches
चिप्स	chips
गुड़	molasses
चन्द	chand
चन्द	callers
उद्योगपति	industrialist
विधियां	methods
बिखरे	scattered
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminster
टिहरी	tehri
सुनाया	pronounced
शैतान	devil
शैतान	satan
नैनोट्यूब	nanotube
शीट	sheet
शीट	sheets
उद्धार	deliver
उद्धार	rescue
पैकेजिंग	packaging
म्यूनिख	munich
शरीफ	sharif
बिस्तर	bed
दोहराया	repeated
बोल्ट	bolt
गुम्बद	dome
गुम्बद	domes
सेवानिवृत्ति	retirement
जश्न	celebrations
जश्न	celebration
जश्न	jamboree
नोबल	noble
शाहजहाँपुर	shahjahanpur
इंडीज	indies
टायसन	tyson
लहरों	waves
टंडन	tandon
अस्थिरता	instability
स्पाइवेयर	spyware
संग्रहीत	archived
सीसा	lead
तना	stems
तना	stem
सदाबहार	evergreen
कंकाल	skeleton
नाइट्राइट	nitrite
समीर	samir
ऑर	orr
तांबे	copper
समतुल्य	equivalent
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
बलराम	balram
बलराम	balarama
एमआईटी	mit
भ्रामक	misleading
भ्रामक	confusing
संभावनाओं	possibilities
नगण्य	trivial
केक	cake
साख	goodwill
जिज्ञासा	curiosity
पालिका	palika
अन्याय	injustice
अनुसूची	schedule
सेठी	sethi
हमीरपुर	hamirpur
एनिमेशन	animation
एनिमेशन	animations
देखो	look
इंतजार	wait
लेप	dabs
हिम्मत	courage
हिम्मत	dare
प्रमाणपत्र	certificates
प्रमाणपत्र	certificate
सांकेतिक	symbolic
