اٹوٹ unbreakable
تجویز suggestion
تجویز judgement
تجویز resolution
تجویز proposal
تجویز plan
تحدید limitation
تحدید restriction
تحریر composition
تحریر manumission
تحریر freedom
تحریر document
تحریر write-up
تحریر writing
تحریر undertaking
تحریر manuscript
تحریر tracery
تحریص inciting
تحریص instigation
تحریص lure
تحریص temptation
تحریص stimulation
تحقیر insult
تحقیر humiliation
تحلیل legalization
تحلیل digestion
تحلیل dissolution
تحلیل assimilation
تحلیل dissipation
تحلیل vanishing
تحلیل analysis
تخفیف abatement
تخفیف relief
تخفیف remission
تخفیف diminution
تخفیف reduction
تخلیق invention
تخلیق production
تخلیق creation
تخمینہ estimate
تخمینہ conjecture
تخمینہ evaluation
تخمینہ costing
تخمینہ surmise
تخمینہ appraisal
تخمینہ cost-estimate
تخویف terrifying
تخویف intimidation
تخویف threatening
تدبیر opinion
تدبیر remedy
تدبیر contrivance
تدبیر management
تدبیر device
تدبیر tactic
تدبیر way
تدبیر plan
تذلیل abasement
تذلیل degradation
تذلیل humiliation
تذلیل disgrace
تذلیل indignity
تراشنا slice
تراشنا clip
تراشنا trim
تراشنا carve
تراشنا cut
ترانہ ballad
ترانہ anthem
ترانہ melody
ترتیب formation
ترتیب order
ترتیب composing
ترتیب embellishment
ترتیب compilation
ترتیب deployment
ترتیب decoration
ترتیب classification
ترتیب assorting
ترتیب arrangement
ترجمان mouthpiece
ترجمان interpreter
ترجمان spokesperson
ترجمان representative
ترجیح priority
ترجیح precedence
ترجیح superiority
ترجیح preference
ترجیحی preferential
تردید rejection
تردید denial
تردید rebuttal
تردید contradiction
تردید refutation
ترساں afraid
ترساں fearful
ترساں timid
ترسانا tantalize
ترسیل remittance
ترسیل sending
ترسیل dispatch
ترسیل transmission
ترسیل consignment
ترسیمی graphic
ترغیب inducement
ترغیب instigation
ترغیب persuasion
ترغیب bait
ترغیب allurement
ترغیب incitement
ترغیب temptation
ترغیب stimulation
ترک desertion
ترک relinquishment
ترک supposition
ترک conjecture
ترک omission
ترک abandonment
ترک argument
ترک catchword
ترک abdication
ترک leaving
ترک discussion
ترک renouncing
ترک bookmark
ترکیب formation
ترکیب system
ترکیب structure
ترکیب mode
ترکیب procedure
ترکیب mechanism
ترکیب synthesis
ترکیب technique
ترکیب constitution
ترکیب solution
ترکیب tactic
ترکیب method
ترکیب plan
ترکیب process
ترکھان carpenter
ترمیم alteration
ترمیم modification
ترمیم amendment
ترمیم improvement
تڑپنا writhe
تزکیہ purification
تزکیہ sanctifying
تزئین adornment
تزئین decoration
تسکیک monetization
تسکین assuagement
تسکین appeasement
تسکین ease
تسکین pacification
تسکین comfort
تسکین consolation
تسکین rest
تسکین satisfaction
تسلیم greeting
تسلیم surrender
تسلیم conceding
تسلیم accepting
تسلیم admittance
تسلیم salutation
تسلیم compliment
تسلیم homage
تسہیل facilitation
تشاکُل symmetry
تشبیہہ likening
تشبیہہ comparison
تشبیہہ simile
تشخیص ascertainment
تشخیص evaluation
تشخیص assessment
تشخیص determination
تشخیص appraisal
تشخیص diagnosis
تشریح exegesis
تشریح details
تشریح commentary
تشریح explanation
تشریح elucidation
تشریح exposition
تشویش worry
تشویش angst
تشویش concern
تشویش uneasiness
تشویش apprehensiveness
تشویش anxiousness
تشویش disquietude
تشویش apprehension
تشویش anxiety
تشویق encouragement
تشویق inducement
تشویق persuasion
تشویق urging
تشہیر infamy
تشہیر disgrace
تشہیر proclaiming
تشہیر publicity
تصدیق affirmation
تصدیق confirmation
تصدیق premiss
تصدیق authentication
تصدیق verification
تصدیق corroboration
تصدیق premise
تصدیق countersignature
تصدیق certification
تصدیق attestation
تصریفی inflective
تصویت vocalization
تصویت phonation
تصویر photo
تصویر likeness
تصویر drawing
تصویر portrait
تصویر painting
تصویر image
تصویر photograph
تصویر picture
تصویر picture-like
تضاد contradiction
تضاد contrast
تضاد inconsistency
تضاد opposition
تضحیک mockery
تضحیک mocking
تضحیک ridicule
تضحیک derision
تطہیر sanctification
تطہیر purification
تطہیر cleansing
تطہیر purgation
تعاقب following
تعاقب pursuit
تعاقب chase
تعدیل neutralization
تعدیل counterbalance
تعدیل adjustment
تعدیل equalization
تعریف description
تعریف definition
تعریف explanation
تعریف commendation
تعریف admiration
تعریف praise
تعزیت condolence
تعزیت mourning
تعزیت lamentation
تعزیر punishment
تعزیر penalty
تعزیر penalization
تعزیر reproof
تعزیر reprimand
تعزیر censure
تعزیری punitive
تعزیری penal
تعزیریات penology
تعظیم reverence
تعظیم obeisance
تعظیم respect
تعظیم adoration
تعظیم honour
تعلیم instruction
تعلیم teaching
تعلیم education
تعمیر construction
تعمیر building
تعمیر structure
تعمیل execution
تعمیل performance
تعمیل compliance
تعمیل obedience
تعمیم universalization
تعمیم generalization
تعمیم popularization
تعویذ amulet
تعویذ talisman
تعویذ tombstone
تعویذ sarcophagus
تعویذ charm
تعویق hindering
تعویق averting
تعویق suspending
تعویق delay
تعویق procrastination
تعویق postponing
تغذیہ alimentation
تغذیہ nourishment
تغذیہ nutrition
تغذیہ feeding
تفتیشی investigatory
تفریح fun
تفریح amusement
تفریح diversion
تفریح entertainment
تفریح enjoyment
تفریح recreation
تفریحی recreational
تفریحی entertaining
تفریق distinction
تفریق departure
تفریق subtraction
تفریق misunderstanding
تفریق jealousy
تفریق separation
تفریق classification
تفویض entrusting
تفویض assigning
تفویض devolvement
تفویض allotment
تفویض etc.)
تقدیر fortune
تقدیر lot
تقدیر estimate
تقدیر destiny
تقدیر predestination
تقدیر fate
تقدیر luck
تقدیس consecration
تقدیس sanctification
تقدیس piousness
تقدیس purity
تقدیس glorification
تقریب rite
تقریب festival
تقریب cause
تقریب recommendation
تقریب pretence
تقریب approach
تقریب proximity
تقریب occasion
تقریب ceremony
تقریب introduction
تقریب reason
تقریباً almost
تقریباً approximately
تقریباً about
تقریباً nearly
تقریر discourse
تقریر speech
تقریر address
تقریر oration
تقریر lecture
تقریر talk
تقلیل reduction
تقلیل curtailment
تقلیل paucity
تقلیل diminishing
تکان motion
تکان jolt
تکان fatigue
تکان weariness
تکان stroke
تکان attack
تکان jerk
تکان tiredness
تکان movement
تکان assault
تکان blow
تکان agitation
تکان bump
تکرار contention
تکرار dispute
تکرار reduplication
تکرار controversy
تکرار altercation
تکرار argument
تکرار tautology
تکرار repetition
تکریم civility
تکریم reverence
تکریم honour
تکریم respect
تکلیس calcination
تکمیل execution
تکمیل finishing
تکمیل perfection
تکمیل termination
تکمیل conclusion
تکمیل completion
تکنیک technique
تکوین origination
تکوین genesis
تکوین creation
تلاش pursuit
تلاش search
تلاش quest
تلاش investigation
تلاش longing
تلاش wish
تلافی redress
تلافی recompense
تلافی compensation
تلافی atonement
تلافی indemnification
تلافی reparation
تلبیس impersonation
تلبیس knavery
تلبیس fraud
تلبیس counterfeiting
تلچھٹ dregs
تلچھٹ sediments
تلچھٹ draff
تلچھٹ refuse
تلخ acrimonious
تلخ bitter
تلخ unpalatable
تلخ unpleasant
تلخ foul-spoken
تلخ foul-mouthed
تلخ pungent
تلخ acrid
تلخ arduous
تلخ sorrowful
تلخیص abstract
تلخیص precis
تلخیص summary
تلخیص abridgement
تلوار sabre
تلوار scimitar
تلوار sword
تلوریا fencer
تلوریا swordsman
تِلّی spleen
تلے under
تلے beneath
تلے underneath
تلے below
تلے subordinate
تماشا sport
تماشا exhibition
تماشا tamasha
تماشا sight
تماشا oddity
تماشا fun
تماشا spectacle
تماشا show
تماشا entertainment
تماشا amusement
تماشائی spectator
تماشائی onlooker
تماشائی bystander
تمام entire
تمام all
تمام whole
تمام end
تمام total
تمام full
تمام complete
تمتمانا glow
تمتمانا redden
تمتمانا flush
تمثیل similarity
تمثیل parable
تمثیل resemblance
تمثیل instance
تمثیل allegory
تمثیل similitude
تمثیل analogy
تمثیل comparison
تمثیل drama
تمثیل example
تمثیل play
تمثیلی allegorical
تمثیلی analogical
تمنّا desire
تمنّا yearning
تمنّا expectation
تمنّا hope
تمنّا longing
تمنّا wish
تمنّا prayer
تمہید adjustment
تمہید management
تمہید introduction
تمہید preamble
تمہید preface
تمہید arrangement
تمہیدی preliminary
تمہیدی introductory
تنازعہ dispute
تنازعہ wrangling
تنازعہ controversy
تنازعہ discord
تنازعہ strife
تنخواہ pay
تنخواہ salary
تنخواہ wages
تندہی diligence
تنسیخ annulment
تنسیخ repeal
تنسیخ abrogation
تنسیخ revocation
تنسیخ quashing
تنسیخ cancellation
تنصیب installation
تنصیف bisection
تنظیم ordering
تنظیم arranging
تنظیم party
تنظیم discipline
تنظیم regimentation
تنظیم organization
تنظیم arrangement
تنگ strained
تنگ compressed
تنگ short
تنگ destitute
تنگ sack
تنگ confined
تنگ contracted
تنگ straitened
تنگ penniless
تنگ lap
تنگ bag
تنگ bored
تنگ distressed
تنگ poor
تنگ scanty
تنگ tight
تنگ girth
تنگ constricted
تنگ narrow
تننا stretch
تنویر refulgence
تنویر clarification
تنویر illumination
تنویر explanation
تنہا solitary
تنہا lonely
تنہا isolated
تنہا single-handed
تنہا single
تنہا only
تنہا alone
تنہا lone
تنہائی loneliness
تنہائی privacy
تنہائی solitude
تنہائی isolation
تنہائی separation
توانائی energy
توانائی power
توانائی ability
توانائی strength
توتلا stutterer
توتلا lisping
توتلا lisper
تودہ abundant
تودہ stack
تودہ heap
تودہ plentiful
تودہ mound
توڑا ploughshare
توڑا scarcity
توڑا shortage
توس toast
تولنا deliberate
تولنا estimate
تولنا weigh
تولنا judge
تولنا ponder
تونگر well-to-do
تونگر opulent
تونگر rich
تونگر affluent
تونگر wealthy
تہذیب culture
تہذیب improvement
تہذیب manners
تہذیب polish
تہذیب civilization
تہذیب development
تہذیب pruning
تہذیب progress
تہذیب etc.)
تہذیب politeness
تہذیب correcting
تہذیب refinement
تہی empty
تیرھواں thirteenth
تیز penetrating
تیز acute
تیز fiery
تیز adroit
تیز keen
تیز caustic
تیز intelligent
تیز sharp
تیز pungent
تیز pointed
تیز clever
تیز swift
تیز high-priced
تیز piercing
تیز costly
تیز quick
تیزابیت acidity
تیزی acrimony
تیزی intensity
تیزی spirit
تیزی swiftness
تیزی speed
تیزی pungency
تیزی sharpness
تیزی keenness
تیزی violence
تیزی fervour
تیل oil
تھال salver
تھال tray
تھال platter
تھامنا hold
تھامنا clutch
تھامنا detain
تھامنا maintain
تھامنا seize
تھامنا help
تھامنا retain
تھامنا protect
تھامنا stop
تھامنا support
تھامنا prop
تھکانا tire
تھکانا fatigue
تھکاوٹ fatigue
تھکاوٹ weariness
تھکاوٹ lassitude
تھکاوٹ tiredness
تھکاوٹ exhaustion
تھکن tiredness
تھکن fatigue
تھکنا fall
تھکنا tire
تھکنا slump
تھم post
تھم pillar
تھم base
تھم column
تھم foundation
تھم prop
تھمنا stop
تھمنا cease
تھن dug
تھن pap
تھن udder
تھن teat
تھوپنا coat
تھوپنا daub
تھوپنا pile
تھوپنا plaster
تھوپنا assign
تھوپنا impose
تھوپنا accuse
تھوپنا heap
تھوپنا blame
تھوپنا impute
تھوپنا entrust
تھور salinity
تھوڑا few
تھوڑا little
تھوڑا scanty
تھوڑا slight
تھوڑا meagre
ٹٹّو power
ٹٹّو flatterer
ٹٹّو tattoo
ٹٹّو strength
ٹٹّو pony
ٹٹیری sandpiper
ٹکّر confrontation
ٹکّر butting
ٹکّر collision
ٹکّر concussion
ٹکّر opponent
ٹکّر shock
ٹکّر impact
ٹکّر encounter
ٹکّر challenge
ٹکّر knock
ٹکّر bump
ٹنا clitoris
ٹہلنا ramble
ٹہلنا disappear
ٹہلنا saunter
ٹہلنا die
ٹہلنا stroll
ٹہوکا shove
ٹہوکا jog
ٹہوکا thump
ٹہوکا nudge
ٹیڑھ perverseness
ٹیڑھ eccentricity
ٹیڑھ ignorance
ٹیڑھ crookedness
ٹیڑھا angry
ٹیڑھا contrary
ٹیڑھا bent
ٹیڑھا crooked
ٹیڑھا opposite
ٹیڑھا difficult
ٹیڑھا awry
ٹیڑھا offended
ٹینی small
ٹینی tiny
ٹینی bantam
ٹینی little
ٹھٹھیرا brazier
ٹھٹھیرا tinker
ٹھٹھیرا tinner
ٹھٹھیرا tinsmith
ٹھس mulish
ٹھس obstinate
ٹھس dull
ٹھس stupid
ٹھس crammed
ٹھس unperceptive
ٹھس solid
ٹھس lacklustre
ٹھس lazy
ٹھس idle
ٹھس heavy
ٹھگ swindler
ٹھگ cheat
ٹھگ cut-throat
ٹھگ imposter
ٹھگ thug
ٹھنڈا calm
ٹھنڈا mild
ٹھنڈا cold-hearted
ٹھنڈا dull
ٹھنڈا refreshed
ٹھنڈا level-headed
ٹھنڈا inactive
ٹھنڈا appeased
ٹھنڈا cool
ٹھنڈا extinguished
ٹھنڈا dead
ٹھنڈا pacified
ٹھنڈا enduring
ٹھنڈا impotent
ٹھنڈا allayed
ٹھنڈا frigid
ٹھنڈا cold
ٹھنڈا patient
ٹھنڈک pacification
ٹھنڈک comfort
ٹھنڈک solace
ٹھنڈک satisfaction
ٹھنڈک coolness
ٹھنڈک coldness
ٹھوس firm
ٹھوس dull
ٹھوس true
ٹھوس hard
ٹھوس solid
ٹھوس compact
ٹھوس thickheaded
ٹھوس dense
ٹھوس reliable
ٹھہرانا fix
ٹھہرانا settle
ٹھہرانا stop
ٹھہرانا decide
ٹھہرانا determine
ٹھہرنا stagnate
ٹھہرنا endure
ٹھہرنا stay
ٹھہرنا delay
ٹھہرنا stop
ثانوی auxiliary
ثانوی second
ثانوی secondary
ثانی equal
ثانی second
ثانی match
ثمر result
ثمر offspring
ثمر outcome
ثمر reward
ثمر son
ثمر fruit
ثمر produce
جا seat
جا time
جا accurately
جا exactly
جا location
جا place
جا occasion
جا room
جانشینی heirship
جانشینی succession
جادوگر conjuror
جادوگر magician
جادوگر sorcerer
جادوگری witchcraft
جادوگری enchantment
جادوگری sorcery
جاڑا winter
جاڑا ague
جاڑا coldness
جال magic
جال deception
جال trap
جال snare
جال lattice
جال net
جال illusion
جالی lace
جالی medicine
جالی network
جالی caul
جالی bobbinet
جالی lattice
جالی net
جان awareness
جان knowing
جان beloved
جان animation
جان opinion
جان spirit
جان stamina
جان vigour
جان life
جان force
جان knowledge
جان apprehension
جان soul
جان energy
جان vitality
جانچ trial
جانچ test
جانچ examination
جانچ assessment
جانچ appraisal
جانچنا test
جانچنا appraise
جانچنا examine
جانچنا try
جانچنا assess
جاننا believe
جاننا recognize
جاننا accept
جاننا comprehend
جاننا know
جاننا assume
جاننا suppose
جاننا presume
جاننا understand
جاننا perceive
جاننا identify
جب whenever
جب when
جبر improvement
جبر atrocity
جبر outrage
جبر compulsion
جبر recompensation
جبر oppression
جبر repression
جبر constraint
جبر force
جبر coercion
جبر violence
جبریت determinism
جداگانہ separately
جداگانہ different
جداگانہ separate
جدول stream
جدول rill
جدول columns
جدول schedule
جدول rivulet
جدّہ granny
جدّہ grandmother
جذباتی sentimental
جذباتی passionate
جذباتی emotional
جذبہ feeling
جذبہ passion
جذبہ emotion
جذبہ sentiment
جراد locust
جری valiant
جری brave
جری bold
جری intrepid
جری courageous
جزیرہ island
جزیرہ isle
جست spring
جست zinc
جست leap
جست pewter
جست bound
جست jump
جشن rejoicing
جشن festivities
جشن festival
جشن celebration
جشن jubilee
جشن feast
جگنو firefly
جگنو glow-worm
جلال dignity
جلال state
جلال power
جلال grandeur
جلال anger
جلال greatness
جلال eminence
جلال splendour
جلال might
جلال rage
جلال majesty
جلال glory
جلالت dignity
جلالت majesty
جلانا exasperate
جلانا vex
جلانا light
جلانا inflame
جلانا kindle
جلانا fire
جلانا burn
جلانا irritate
جلدی hurry
جلدی haste
جلدی swiftness
جلدی quickness
جماعت fraternity
جماعت congregation
جماعت caste
جماعت group
جماعت party
جماعت association
جماعت assembly
جماعت body
جماعت etc.)
جماعت assemblage
جماعت crowd
جمال grace
جمال beauty
جمال prettiness
جمال elegance
جمانا shoot
جمانا mass
جمانا coagulate
جمانا fix
جمانا implant
جمانا affix
جمانا hit
جمانا curdle
جمانا stack
جمانا shoe
جمانا arrange
جمانا freeze
جمانا set
جمانا etc.)
جمانا adapt
جمہور people
جمہور populace
جمہور masses
جمہور public
جمہوری democratic
جمہوریت democracy
جمہوریت republic
جمہوریہ republic
جنتر apparatus
جنتر appliance
جنتر dial
جنتر instrument
جنتر observatory
جنتر amulet
جنتر machine
جنتر engine
جنتر implement
جنتر jugglery
جنتر charm
جنتر code
جنتری calendar
جنتری deceiver
جنتری cheat
جنتری almanac
جنتری conjurer
جنتری juggler
جنتری wizard
جنگل wood
جنگل plentifulness
جنگل jungle
جنگل forest
جنگل abundance
جنگل woodland
جنگل wilderness
جنگلی uncivilized
جنگلی savage
جنگلی wild
جنگی fighter
جنگی contentious
جنگی fighting
جنگی martial
جنگی huge
جنگی warlike
جنگی soldier
جنگی quarrelsome
جنگی military
جنگی big
جننا bear
جننا beget
جو what
جو that
جو if
جو which
جو who
جو atmosphere
جو space
جواب return
جواب response
جواب parallel
جواب sack
جواب pair
جواب reply
جواب answer
جواب refusal
جواب dismissal
جواب counterpart
جواب reward
جواب retort
جواب compensation
جواب rejoinder
جواب discharge
جوابی retaliatory
جوابی respondent
جوابی defendant
جوابی counterpart
جوابی etc.)
جوابی counter
جوابی responsive
جوان warrior
جوان youth
جوان man
جوان soldier
جوان adult
جوان young
جوت lustre
جوت cultivation
جوت cord
جوت tie
جوت tillage
جوت light
جوت ploughing
جوت brilliancy
جوت eyesight
جوت strap
جوت fastening
جوت etc.)
جوت sunbeam
جوت rope
جوت vision
جوت glance
جوت band
جوتشی soothsayer
جوتشی astrologer
جوڑنا solder
جوڑنا bind
جوڑنا unite
جوڑنا reckon
جوڑنا tie
جوڑنا add
جوڑنا harness
جوڑنا contrive
جوڑنا scheme
جوڑنا total
جوڑنا attach
جوڑنا mate
جوڑنا join
جوڑنا etc.)
جوڑنا invent
جوڑنا consolidate
جوڑنا connect
جوڑنا yoke
جوڑنا cement
جوڑنا patch
جُوڑی ague
جوش effervescence
جوش boiling
جوش ardour
جوش zeal
جوش frenzy
جوش emotion
جوش enthusiasm
جوش passion
جوش ebullience
جوش abundance
جوش exuberance
جوش fervour
جوہڑ pond
جویا seeker
جویا seeking
جویا inquirer
جہاں where
جہاں universe
جہد painstaking
جہد exertion
جہد labour
جہد effort
جہد struggle
جہد toil
جہد endeavour
جہد diligence
جیل prison
جیل jail
جھاڑ winnowing
جھاڑ tree
جھاڑ bush
جھاڑ etc.)
جھاڑ chandelier
جھاڑ plant
جھاڑی bush
جھاڑی thicket
جھاڑی shrub
جھاڑی bramble
جھاگ suds
جھاگ froth
جھاگ foam
جھاگ lather
جھاگ scum
جھانجھ dispute
جھانجھ anger
جھانجھ cymbal
جھانجھ quarrel
جھانجھ rage
جھبرا hirsute
جھبرا hairy
جھبرا shaggy
جھٹکا jerk
جھٹکا shock
جھگڑا dispute
جھگڑا wrangle
جھگڑا trouble
جھگڑا brawl
جھگڑا quarrel
جھگڑا squabble
جھلکار light
جھلکار lustre
جھلکار shine
جھنڈی bunting
جھیلنا catch
جھیلنا experience
جھیلنا endure
جھیلنا suffer
جھیلنا undergo
جھیلنا grasp
جھیلنا support
جھیلنا bear
چاٹنا lick
چاٹنا devour
چادر chador
چادر bedclothes
چادر bedspread
چادر veil
چادر waterfall
چادر coverlet
چادر tablecloth
چادر sheet
چاک fissure
چاک torn
چاک chalk
چاک slitted
چاک cleft
چاک slit
چاک millstone
چاک rent
چاک cut
چال walk
چال scheme
چال chawl
چال custom
چال tactic
چال fashion
چال course
چال building
چال behaviour
چال gait
چال motion
چال metre
چال means
چال rhyme
چال procedure
چال stratagem
چال device
چال etc.)
چال process
چال mode
چال conduct
چال movement
چال method
چال trick
چالاک crafty
چالاک artful
چالاک astute
چالاک foxy
چالاک ingenious
چالاک calculating
چالاک canny
چالاک clever
چالاک sly
چالاک catty
چالاک smart
چالاک cunning
چالاکی trickery
چالاکی ingenuity
چالاکی craftiness
چالاکی cleverness
چالاکی cunning
چالاکی trick
چالیسواں fortieth
چاندنی moonbeam
چاندنی moonlight
چاندی wealth
چاندی gain
چاندی silver
چاندی opulence
چاندی benefit
چاہنا love
چاہنا crave
چاہنا desire
چاہنا need
چاہنا want
چاہنا wish
چاہنا like
چاہنا covet
چبانا chew
چبانا crunch
چبانا bite
چبانا masticate
چبانا champ
چٹاخا pleasure
چٹاخا crash
چٹاخا joy
چٹاخا taste
چٹاخا crack
چٹاخا smack
چٹائی mat
چٹائی reed
چٹخا split
چٹخا cracked
چٹخا fissured
چٹیل bare
چٹیل bleak
چراغ light
چراغ chiragh
چراغ son
چُرانا embezzle
چُرانا filch
چُرانا pilfer
چُرانا defalcate
چُرانا rob
چُرانا steal
چُرانا pinch
چربہ copy
چربہ tracing
چربہ etc.)
چربہ duplicate
چربی grease
چربی tallow
چربی fat
چرخ fortune
چرخ lathe
چرخ sky
چرخ crossbow
چرخ falcon
چرخ wheel
چرخ hyena
چرخ carousel
چرنی manger
چرواہا herdsman
چرواہا herder
چرواہا shepherd
چڑھائی ramp
چڑھائی attack
چڑھائی incursion
چڑھائی acclivity
چڑھائی invasion
چڑھائی ascent
چڑھنا rise
چڑھنا advance
چڑھنا climb
چڑھنا increase
چڑھنا mount
چڑھنا attack
چڑھنا copulate
چڑھنا top
چڑھنا elapse
چڑھنا ascend
چڑھنا soar
چُغہ gown
چُغہ cloak
چکّر giddiness
چکّر fix
چکّر scrape
چکّر misfortune
چکّر perplexity
چکّر worry
چکّر circuit
چکّر confusion
چکّر whirlpool
چکّر rotation
چکّر fraud
چکّر vertigo
چکّر revolution
چکّر wheel
چکّر quandary
چکّر difficulty
چکّر orbit
چکّر round
چکّر anxiety
چکّر visit
چکّر deception
چکّر carousel
چکرانا bamboozle
چکرانا befuddle
چکرانا bedevil
چکرانا befog
چکرانا revolve
چکلا whorehouse
چکلا brothel
چکلا broad
چکلا wide
چکلا circular
چکلا round
چکلا cathouse
چکلان broadness
چکھنا relish
چکھنا eat
چکھنا taste
چکھنا suffer
چکھنا enjoy
چلانا dagger
چلانا drive
چلانا mislead
چلانا circulate
چلانا start
چلانا sword)
چلانا move
چلانا operate
چلانا misguide
چلانا dupe
چلن going
چلن vogue
چلن habit
چلن behaviour
چلن leaving
چلن departure
چلن conduct
چلن management
چلن fashion
چلن deportment
چلن custom
چلن economy
چلن method
چلن frugality
چمک lustre
چمک coruscation
چمک outburst
چمک sheen
چمک success
چمک prosperity
چمک glitter
چمک gleam
چمک shine
چمک flash
چمکنا revel
چمکنا coruscate
چمکنا flourish
چمکنا startle
چمکنا glitter
چمکنا gleam
چمکنا sparkle
چمکنا frolic
چمکنا shine
چمکنا glisten
چموٹا blockhead
چموٹا strop
چموٹا fool
چنا chana
چنا gram
چنا chickpea
چنبیلی jasmine
چند several
چند sundry
چند some
چوکور rectangular
چوکور square
چوگنا fourfold
چوٹ loss
چوٹ stroke
چوٹ injury
چوٹ shock
چوٹ rivalry
چوٹ taunt
چوٹ sneer
چوٹ damage
چوٹ hurt
چوٹ bruise
چوٹ blow
چوٹی mountain
چوٹی pigtail
چوٹی pinnacle
چوٹی summit
چوٹی top
چوٹی apex
چوٹی peak
چور secret
چور hidden
چور pilferer
چور thief
چور deceptive
چوری thievery
چوری theft
چُونی bran
چہکار warble
چہکار chirrup
چیچک smallpox
چیلا pupil
چیلا devotee
چیلا follower
چیلا disciple
چیلا chela
چینچلا fledgling
چھاتا mushroom
چھاتا parasol
چھاتا parachute
چھاتا sunshade
چھاتا umbrella
چھاتا fungus
چھاتی courage
چھاتی spirit
چھاتی chest
چھاتی bosom
چھاتی teat
چھاتی fortitude
چھاتی bravery
چھاتی liberality
چھاتی breast
چھاتی endurance
چھاتی heart
چھاچھ buttermilk
چھانا thatch
چھانا overpower
چھانا overcast
چھانا surround
چھانا swarm
چھانا cover
چھانا cast
چھانا hover
چھانا roof
چھانا spread
چھاننا explore
چھاننا filter
چھاننا strain
چھاننا sieve
چھاننا sift
چھاننا assess
چھتّا chatta
چھتّا honeycomb
چھتّا beehive
چھتّا arcade
چھتّا bunch
چھتری parasol
چھتری poop
چھتری cupola
چھتری sunshade
چھتری umbrella
چھتری kshatriya
چھتری canopy
چھٹا sorted
چھٹا sixth
چھٹا etc.)
چھٹا picked
چھٹا selected
چھڑا cleaned
چھڑا solitary
چھڑا winnowed
چھڑا apart
چھڑا bachelor
چھڑا alone
چھڑا separated
چھڑا single
چھکّا dice
چھکّا sixer
چھکّا six
چھکّا eunuch
چھکّا chukka
چھلانگ leap
چھلانگ spring
چھلانگ bound
چھلانگ jump
چھلاوا coquettish
چھلاوا fidgety
چھلاوا will-o'-the-wisp
چھلنی strainer
چھلنی perforated
چھلنی sieve
چھوٹا younger
چھوٹا plumber
چھوٹا mechanic
چھوٹا mean
چھوٹا ignoble
چھوٹا junior
چھوٹا small
چھوٹا chota
چھوٹا subordinate
چھوٹا etc.)
چھوٹا minor
چھوٹا petty
چھوٹا lowly
چھوٹا little
چھوٹائی littleness
چھوٹائی smallness
چھوڑنا leave
چھوڑنا drop
چھوڑنا abandon
چھوڑنا neglect
چھوڑنا debt
چھوڑنا handover
چھوڑنا desert
چھوڑنا relinquish
چھوڑنا authority)
چھوڑنا release
چھوڑنا ignore
چھوڑنا omit
چھوڑنا resign
چھوڑنا abdicate
چھوڑنا pardon
چھوڑنا spare
چھوڑنا discharge
چھید aperture
چھید opening
چھید hole
چھید perforation
چھید puncture
چھید orifice
چھیدنا transfix
چھیدنا bore
چھیدنا penetrate
چھیدنا perforate
چھیدنا pierce
چھیڑنا incite
چھیڑنا tease
چھیڑنا trouble
چھیڑنا touch
چھیڑنا excite
چھیڑنا fret
چھینی chisel
حاجت exigency
حاجت need
حاجت want
حاجت necessity
حاجت requirement
حاکم chief
حاکم master
حاکم governor
حاکم hakim
حاکم ruler
حاکم official
حالت circumstance
حالت state
حالت condition
حامی supporter
حامی ally
حامی hamitic
حامی defender
حامی helper
حب pill
حب etc.)
حب berry
حب tablet
حتمی definite
حتمی sure
حتمی final
حتمی categorical
حتمی certain
حجّام barber
حجّام shaver
حجّام hair-dresser
حرارت heat
حرارت zeal
حرارت ardour
حرارت frenzy
حرارت enthusiasm
حرارت passion
حرارت vehemence
حرارت warmth
حرارت fervour
حرارہ fraud
حرارہ heat
حرارہ anger
حرارہ zeal
حرارہ cheating
حرارہ cozenage
حرارہ calorie
حرارہ warmth
حرارہ fervour
حرام illegitimate
حرام haram
حرام wrong
حرام inviolable
حرام excluded
حرام sacred
حرام wrongdoing
حرام unlawful
حرام spurious
حرام venerable
حرام forbidden
حرام inviolate
حرام adultery
حرام prohibited
حرام fornication
حسد spite
حسد envy
حسد jealousy
حشیش bhang
حشیش hemp
حشیش hashish
حق proprietorship
حق privilege
حق true
حق just
حق truth
حق propriety
حق correct
حق interest
حق due
حق title
حق benefit
حق rightness
حق rectitude
حق righteousness
حق correctness
حق behalf
حق appropriate
حق proper
حق justness
حق reality
حق duty
حق claim
حق fact
حق justice
حق responsibility
حق equity
حق right
حقیر mean
حقیر abject
حقیر contemptible
حقیر etc.)
حقیر base
حقیر least
حقیر insignificant
حقیقت worth
حقیقت truth
حقیقت reality
حقیقت value
حقیقت fact
حقیقی true
حقیقی just
حقیقی real
حقیقی bonafide
حقیقی accurate
حقیقی genuine
حقیقی actual
حقیقی essential
حقیقی own
حقیقی certain
حکم order
حکم arbitrator
حکم statute
حکم decree
حکم verdict
حکم umpire
حکم spade
حکم command
حکم judgement
حکم ordinance
حکم mediator
حکیمانہ wisely
حکیمانہ philosophical
حکیمانہ sagely
حکیمانہ scholarly
حکیمانہ statesmanly
حکیمانہ wise
حلقہ fraternity
حلقہ circle
حلقہ assembly
حلقہ ring
حلقہ company
حلقہ conclave
حماقت folly
حماقت stupidity
حماقت foolishness
حمّال porter
