ursachen causes
geschlossene enclosed
geschlossene closed
betreuung support
betreuung mentoring
betreuung supervision
betreuung care
lebensmittel food
lebensmittel foods
lebensmittel groceries
lebensmittel grocery
lebensmittel foodstuffs
objektiv lens
objektiv objective
objektiv lenses
objektiv objectively
personenverkehr passenger
geometrie geometry
geometrie geometric
bosnien bosnia
now now
zerstörer destroyers
zerstörer destroyer
wright wright
sergei sergei
sergei sergey
bonner bonner
wohnsitz resident
wohnsitz residence
wohnsitz domicile
alpha alpha
studiert studied
rheinischen rhenish
berkeley berkeley
illustrationen illustrations
richtungen directions
schnee snow
gerald gerald
realschule realschule
angel angel
vorgeschichte prehistory
vorgeschichte background
hartmut doreen
hartmut hartmut
funk funk
herrmann herrmann
troll troll
troll trolls
mythos myth
schumacher schumacher
schmalen narrow
schmalen slim
stausee dam
stausee lake
stausee reservoir
tenor tenor
befehlshaber commandant
befehlshaber commanders
befehlshaber commander
hochladen uploading
hochladen upload
sin sin
begangen committed
ansätze approaches
designer designers
designer designer
wirft casts
wirft accuses
wirft raises
wirft throws
möge may
verstand sanity
verstand mind
verstand minds
fühlt feels
türen gates
türen doors
valentin valentin
valentin valentine
begegnungen encounters
begegnungen encounter
brandt brandt
oklahoma oklahoma
gerettet rescued
gerettet saved
gerettet salvaged
ignoriert ignore
ignoriert ignored
ignoriert ignores
überwachung oversight
überwachung monitoring
überwachung monitor
überwachung supervision
überwachung surveillance
achter eighth
achter eights
chinesisch sino
chinesisch chinese
gerechtigkeit justice
gerechtigkeit righteousness
gerechtigkeit fairness
gerechtigkeit equity
folglich hence
folglich consequently
folglich therefore
bett beds
bett bunk
bett bed
vorarlberg vorarlberg
staatssekretär undersecretary
verlangen desire
verlangen require
verlangen demanding
verlangen craving
schreibe write
schreibe writing
angemessen appropriately
angemessen appropriate
angemessen adequate
angemessen adequately
angemessen reasonable
dynamo dynamo
drehen twist
drehen rotate
drehen turning
drehen rotating
drehen turn
angeben indicate
angeben brag
angeben specify
dazwischen between
venezuela venezuela
experiment experiment
astronom astronomers
astronom astronomer
reinbek reinbek
nina nina
theoretische theoretical
ingrid ingrid
industriellen industrial
industriellen industrialist
krüger kruger
krüger krüger
krüger krueger
gerichtet directed
gerichtet addressed
gerichtet judged
rechtswissenschaft law
rechtswissenschaft jurisprudence
umwandlung conversion
umwandlung converting
umwandlung transformation
umwandlung transform
rosenberg rosenberg
chaos mess
chaos mayhem
chaos chaos
xaver xaver
xaver xavier
ansiedlung settlement
zoo zoo
gestiftet donated
gestiftet endowed
bezahlt payed
bezahlt pays
bezahlt paid
cornelius cornelius
bobby bobby
interne internal
besetzte occupied
imo imo
käfer beetles
käfer bugs
käfer bug
käfer beetle
hinterlassen leave
gem acc
gem gem
abgesetzt discontinued
abgesetzt deposed
weihnachten christmas
weihnachten xmas
reguläre regular
fachbereich department
fachbereich faculty
beobachtungen observational
beobachtungen observations
beobachtungen sightings
beobachtungen observation
laien layman
dekan dean
ausgeliefert delivered
ausgeliefert shipped
ausgeliefert extradited
häftlinge convicts
häftlinge prisoners
häftlinge inmates
häftlinge detainees
russen russian
russen russians
allee allee
allee avenue
allee alley
basilika basilica
zyklus cycles
zyklus cycle
konzepte conceptions
konzepte concepts
ganzes whole
ndr ndr
heiliger saints
heiliger holy
heiliger saint
heiliger sacred
tendenz trend
tendenz propensity
tendenz tendency
garcía garcia
garcía garcía
beibehalten retained
beibehalten keep
beibehalten maintained
beibehalten maintain
beibehalten retain
orleans orleans
orleans orléans
anstieg rise
anstieg surge
österreicher austrians
österreicher austrian
eddie eddie
vorbereitet ready
vorbereitet prepped
vorbereitet prepared
aktiengesellschaft aktiengesellschaft
stürzte crashed
stürzte collapsed
einheitliche unified
einheitliche unitary
einheitliche uniform
urheberrecht copyrights
urheberrecht copyright
landschaften scenery
landschaften countryside
landschaften landscapes
landschaften landscape
anstellung recruitment
festland mainland
baltimore baltimore
kannte knew
fotografen photographers
fotografen photographer
einverstanden agreed
einverstanden agree
mund mouth
mund mouths
inkl incl
berthold berthold
löst solves
löst triggers
soziales social
xiv xiv
reformen reform
reformen reforms
sklaven slave
sklaven slaves
weinbau vineyard
weinbau vineyards
weinbau viticulture
weinbau wine
griechen greeks
griechen greek
individuelle customised
individuelle individual
individuelle customized
fair fair
scheitern fail
scheitern failure
scheitern failing
scheitern failures
spitzen lace
spitzen peaks
aussieht looks
mohammed mohammad
mohammed muhammad
mohammed mohammed
mohammed mohamed
gattin missus
marktplatz marketplace
arkansas arkansas
erwerben acquire
indonesien indonesia
indonesien indonesian
reagieren react
reagieren respond
reagieren reacting
reagieren responding
bedingung conditional
bedingung condition
bedingung constraint
paolo paolo
tagebuch journal
tagebuch diary
tagebuch diaries
entsprechender corresponding
ethik ethic
ethik ethical
ethik ethics
ausgewählte selected
britisch british
entdecken discovering
entdecken explore
entdecken detect
entdecken discover
entdecken discovery
angewiesen instructed
gestapo gestapo
beginnend beginning
beginnend commencing
frequenz frequency
lit lit
auffällig conspicuously
auffällig flashy
auffällig noticeable
auffällig conspicuous
auffällig striking
verlinkung hyperlink
verlinkung link
verlinkung linking
seltene rare
marshall marshall
marshall marshal
wortes word
handwerk craftsmanship
handwerk handicrafts
handwerk craft
handwerk handicraft
handwerk crafts
most most
grosse large
grosse grosse
gütersloh gütersloh
jederzeit everytime
jederzeit anytime
geeignete appropriate
geeignete suitable
contest contest
houston houston
adrian adrian
reichlich ample
reichlich plentiful
reichlich plenty
reichlich abundant
musée musée
gefallenen fallen
kaffee coffee
kaffee cafe
gedenkstätte memorial
agent agent
zagreb zagreb
fokus focus
verbesserungen improvements
verbesserungen enhancements
verbesserungen improvement
gegenseitig mutually
schien appeared
schien shone
schien seemed
modellen models
turnieren tournaments
grey grey
krakau cracow
krakau krakow
krakau kraków
gedenken remembrance
gedenken remembering
gedenken commemoration
gedenken commemorate
gesendet transmitted
gesendet sent
gesendet posted
zypern zimbabwe
zypern cyprus
zypern malta
anleitung guidance
anleitung instruction
anleitung manual
anleitung tutorial
anleitung instructions
jeff jeff
staatsbürgerschaft nationality
staatsbürgerschaft citizenship
zwang forced
zwang compulsion
zwang coercion
zwang duress
zwang constraint
germania germania
praktischen practicality
praktischen practicalities
unterart subtype
unterart subspecies
kürzer shorter
komplexe complexes
komplexe complexity
komplexe complex
verbündeten allied
verbündeten allies
verbündeten ally
monats monthly
monats month
truppe troop
truppe troupe
türme towers
türme tower
hut hut
hut hats
hut hat
verbleib whereabouts
verbleib fate
abgeschafft abolished
milch dairy
milch milk
langjährigen longtime
langjährigen longstanding
kommerziellen commercial
jon jon
schmitt schmitt
bestände inventories
bestände stocks
bestände inventory
bestände herds
weswegen why
hills hills
baptist baptist
angelegten landscaped
anfänglich initially
beeinflussen affect
beeinflussen influencing
beeinflussen influence
bug bug
bug bow
bundesverdienstkreuz bundesverdienstkreuz
meilen mile
meilen miles
meilen mileage
taten deeds
landesstraße landesstraße
farm farm
oberstleutnant colonel
ermitteln investigating
ermitteln investigate
ermitteln detect
ermitteln identify
wta wta
freizeit recreation
freizeit leisure
freizeit sports
drum drum
gera gera
motorrad bikes
motorrad motorcycles
motorrad bike
motorrad motorcycle
motorrad motorbike
lutherische lutheran
aktueller current
peer peer
wellen shafts
wellen ripples
wellen waves
maßstab yardstick
maßstab scale
maßstab benchmark
ständige permanent
ständige constant
verbreiteten disseminated
landete landed
sopran soprano
schoss lap
schoss shot
fachliteratur literature
philosophische philosophical
klassiker classics
klassiker classical
klassiker classic
burgund bourgogne
burgund burgundy
partnerschaft partnering
partnerschaft partnership
partnerschaft twinning
partnerschaft partnerships
erfordert requiring
erfordert requires
pauli pauli
brot loaf
brot bread
ukrainischen ukrainian
xiii xiii
lehren lessons
lehren teaching
lehren teach
lehren teachings
marseille marseille
marseille marseilles
hugh hugh
chen chen
leon leon
äußersten outermost
ostseite east
duden duden
höfe farms
höfe courtyards
höfe courts
beethoven beethoven
mönche monks
krefeld krefeld
tommy tommy
ungarisch hungarian
rgb rgb
tool tool
görlitz görlitz
glatt plain
glatt smooth
beauftragte envoy
beauftragte commissioned
beauftragte delegate
aussicht prospect
aussicht outlook
aussicht views
aussicht view
beantworten answering
erwerb acquisitions
erwerb purchase
erwerb acquisition
passage passage
niedriger lower
portugiesischer portuguese
run run
saudi saudi
anime anime
kairo cairo
reformierten reformed
bittet invites
bittet asks
bittet beg
olaf olaf
bewusstsein conscience
bewusstsein awareness
bewusstsein consciousness
bewusstsein conscious
berufliche occupational
berufliche vocational
apostolischen apostolic
erlauben enable
erlauben allow
erlauben permit
porträts portraits
porträts portrait
ausgegangen dated
avenue avenue
motors motors
départements départements
let let
let iet
kunstverein kunstverein
schumann schumann
remix remix
trikot jersey
lorenzo lorenzo
gescheitert failed
gescheitert unsuccessful
renate renate
künftig henceforth
masters masters
opern opera
opern operas
tschechisch czech
angebote specials
angebote promotions
angebote offers
angebote deals
zugewiesen assigned
zugewiesen allocated
zugewiesen attributed
zugewiesen allotted
grundlegend fundamentally
grundlegend fundamental
kriegen wars
reifen tires
reifen tyres
reifen tire
reifen tyre
reifen mature
wolfram tungsten
wolfram wolfram
roberts roberts
komitee committee
komitee comité
hirsch stag
hirsch deer
hirsch hirsch
ludwigs ludwig
umstand circumstance
unterarten subtypes
unterarten subspecies
ermittlungen investigations
ermittlungen investigation
speicher storage
speicher memory
nancy nancy
verwechseln mistaking
verwechseln confuse
hunter hunter
verschieden different
verschieden diverse
verschieden various
verschieden varied
krieger warriors
krieger krieger
krieger warrior
umstände circumstance
umstände circumstances
systematisch systematically
systematisch systematic
gesetzlichen statutory
eichstätt eichstätt
ehepaar couple
delta delta
durchführen perform
durchführen performing
armin armin
brockhaus brockhaus
ivan ivan
stichwort keywords
stichwort cue
stichwort keyword
erwünscht desired
erwünscht desirable
erwünscht appreciated
erwünscht wanted
konzentriert concentrated
konzentriert focussed
konzentriert focuses
konzentriert focused
edwin edwin
kent kent
matthäus matthew
bond bond
aluminium aluminium
aluminium aluminum
dimension dimension
schönheit beauty
sauerstoff oxygen
erstellte compiled
erstellte created
mitchell mitchell
marion marion
rasse racial
rasse breed
rasse race
schwarzwald schwarzwald
ingolstadt ingolstadt
geäußert uttered
geäußert voiced
inschriften inscriptions
zähne tooth
zähne teeth
basierend based
cottbus cottbus
freuen rejoice
gültig valid
gültig expires
statthalter governor
sri sri
systematische systematic
denkbar conceivable
satelliten satellites
satelliten satellite
umgehen evade
umgehen bypass
umgehen circumvent
symbole symbols
symbole icons
germanischen germanic
theo theo
medaillen medal
medaillen medals
abbruch abortion
abbruch abort
abbruch demolition
spannungen stresses
spannungen tension
spannungen voltages
spannungen tensions
resultat result
bricht breaks
sony sony
verarbeitung processing
verarbeitung workmanship
sechste sixth
empfohlen suggested
empfohlen recommended
empfohlen advised
bundesautobahn bundesautobahn
five five
vernichtet destroyed
vernichtet destroy
vernichtet annihilated
vernichtet exterminated
frühling spring
frühling springtime
romanischen romanesque
raf raf
akzeptieren accepting
akzeptieren accept
gräber tombs
gräber graves
ansbach ansbach
renovierung refurbishment
renovierung renovated
renovierung renovation
renovierung renovations
collins collins
collins collin
einander mutually
übersehen missed
übersehen overlooked
übersehen overlook
wäldern woods
wäldern forests
analysis calculus
massiven massive
terry terry
gleichung equation
sockel pedestal
sockel cap
sockel socket
sockel lga
sockel sockets
erlaubte permitted
erlaubte allowed
vergeblich vain
vergeblich futile
mögen liking
mögen like
mögen likes
schulze schulze
traditionen traditions
traditionen tradition
dehio dehio
behauptete claimed
behauptete asserted
behauptete alleged
six six
hunde dogs
hunde canine
hunde dog
krebs cancers
krebs krebs
krebs cancer
verfolgen tracking
verfolgen haunt
virus virus
girls girls
unit unit
fett fats
fett grease
fett bold
fett fat
direkter direct
anzeigen classifieds
anzeigen display
anzeigen view
anzeigen ads
anzeigen show
alain alain
blättern leaf
blättern leaves
blättern scrolling
blättern scroll
angetrieben driven
angetrieben propelled
angetrieben powered
wiederholen repeated
wiederholen repeat
wiederholen redo
wiederholen replay
reformierte reformed
historique historique
astronomie astronomy
stadtzentrum downtown
stadtzentrum centre
decke ceilings
decke blanket
decke blankets
decke ceiling
decke roof
achim achim
wohnt lives
wohnt resides
schritte footsteps
schritte steps
schritte strides
wachsenden growing
dominiert dominates
dominiert dominated
dominiert dominate
dominiert dominating
geschafft managed
geschafft accomplished
geschafft made
geschafft done
geschafft succeeded
michail mikhail
linden linden
globe globe
ulrike sarah
ulrike ulrike
ulrike julia
nicholas nicholas
jubiläum jubilee
jubiläum anniversaries
jubiläum anniversary
schnabel beak
française française
übertrug devolved
schriftlich written
schriftlich writing
palästina palestine
palästina palestinian
klärung clarifying
klärung clarify
klärung clarification
wilfried wilfred
wilfried wilfried
verfolgte tracked
verfolgte pursued
verfolgte haunted
verfolgte persecuted
angewandt applied
zehnten tenth
still hush
still still
eingeleitet initiated
eingeleitet instituted
vorgaben presets
vorgaben defaults
beobachter observers
beobachter watchers
beobachter monitors
beobachter observer
bilanz balance
produkten products
fürth fürth
indirekt indirect
indirekt indirectly
mtv mtv
alias alias
alias aka
bestätigung confirmation
bestätigung acknowledgement
bestätigung confirm
bestätigung validation
mühlen mill
mühlen windmills
mühlen mills
mühlen grinders
mühlen crushers
libretto libretto
wiederherstellen restore
wiederherstellen recover
wiederherstellen redo
wiederherstellen restoring
massaker massacre
massaker massacres
suffix suffix
rudolph rudolph
umgangssprachlich colloquial
umgangssprachlich colloquially
umgangssprachlich slang
rennfahrer racers
rennfahrer racer
beseitigt solved
beseitigt eliminated
beseitigt abolished
beseitigt disposed
aufschwung upturn
aufschwung upswing
aufschwung revival
matrix array
matrix matrix
ähnlichkeit similarities
ähnlichkeit likeness
ähnlichkeit resemblance
ähnlichkeit similarity
verteidigte defended
empfehlung recommended
empfehlung suggestion
empfehlung recommendation
bedrohung menace
bedrohung threats
bedrohung threat
eindeutige unambiguous
eindeutige unequivocal
einweihung dedication
einweihung inauguration
einweihung consecration
landkreise districts
landkreise counties
vollendet completes
landung touchdown
landung landing
saniert rehabilitated
sozialer social
statistischen statistical
dallas dallas
betreute oversaw
offensive offensive
fein finely
fein fine
fein fein
pole pole
pole poles
herman herman
besiegt conquered
besiegt beaten
besiegt vanquished
besiegt defeated
krause krause
bindung bindings
bindung binding
bindung bonding
bindung bond
entwürfe sketches
entwürfe designs
entwürfe drafts
entwürfe blueprints
schwimmen swim
schwimmen swimming
early early
abkürzungen shortcuts
abkürzungen abbreviation
abkürzungen abbreviations
abkürzungen acronyms
protest protest
protest protests
messina messina
organisierten organised
organisierten organized
bsg bsg
kugel sphere
kugel globe
kugel ball
kugel orb
kugel bullet
kosovo kosovo
delegation delegation
färbung staining
färbung coloring
färbung colouring
färbung coloration
trophy trophy
ausstrahlung broadcast
ausstrahlung charisma
ausstrahlung broadcasting
