cēlonis	cause
ķirzakas	lizards
likvidēt	eliminate
dejotāja	dancer
olimpiskajā	olympic
luters	luther
vāgners	wagner
kursos	courses
tuksnesis	desert
atzīti	recognised
atzīti	recognized
teritoriālais	territorial
pasaka	tells
dziļš	deep
piesaista	attracts
piesaista	attract
žaunu	gill
dana	dana
dārziņš	garden
silvija	sylvia
silvija	silvia
izpildītāji	performers
izpildītāji	artists
pavlovs	pavlov
sausā	dry
sausā	dri
pacientiem	patients
asp	asp
vienādu	uniform
avārijā	driveway
izzūd	disappears
vadims	vadim
mini	mini
sekcija	section
sekcija	bay
adams	adams
izpaudās	manifested
ethernet	ethernet
digitālā	digital
gāzts	overthrown
bioloģija	biology
eļļa	oil
frakcija	fraction
saturēt	contain
bahs	bach
interjers	décor
atbalstītāji	supporters
definīcija	definition
labāks	better
palīgā	help
dzīvsudraba	mercury
fiksēts	fixed
mākslīgais	artificial
lādiņu	projectile
cieņu	dignity
cauna	marten
paplašināta	extended
paplašināta	widened
paplašināta	enlarged
paplašināta	expanded
veselas	whole
apvalks	tunic
falco	falco
frakciju	faction
biļetes	tickets
dimantu	diamond
izplatīšanās	propagation
izplatīšanās	distribution
izplatīšanās	spread
izplatīšanās	spreading
atveres	porting
atveres	openings
nikolass	nicholas
gadījuma	random
gadījuma	casual
utype	utype
aux	livres
amerikāņi	americans
tīra	pure
tīra	cleans
tīra	clean
baumas	rumors
baumas	rumor
izabella	isabel
izabella	isabella
izabella	isabelle
prāga	prague
nogulumu	sedimentary
nieres	kidneys
nieres	kidney
pasākuma	measure
patērē	consumed
patērē	consuming
patērē	consume
patērē	consumes
zālamana	solomon
apsūdzēts	accused
reklāma	publicity
reklāma	advertising
vikingi	vikings
sidnejas	sydney
munīcijas	ammunition
plānā	plan
muguru	back
mūris	wall
apzīmējumi	terms
apzīmējumi	legend
porto	porto
gravenhorst	gravenhorst
turēt	hold
turēt	keep
polo	polo
laivas	boats
ģenētiski	genetically
interscope	interscope
svētdienas	sundays
mainsnak	mainsnak
vasalis	vassal
eksperimenti	experimenting
eksperimenti	experiments
eksperimenti	experimentation
ievada	introductory
clippers	clippers
leonards	leonard
atpūta	recreation
atpūta	leisure
atpūta	rest
nirnbergas	nuremberg
dzemdes	uterus
dzemdes	uterine
dzemdes	womb
saimnieki	masters
saimnieki	hosts
tarkovskis	tarkovsky
gods	honour
gods	honor
mūs	us
skaļi	aloud
skaļi	loudly
skaļi	loud
algu	salary
algu	wage
pretojās	resisted
veru	võru
uzplaukums	boom
piramīdas	pyramid
piramīdas	pyramids
augstākas	higher
publikācija	publication
publikācija	publishing
gps	gps
elo	elo
risinājumi	solutions
teju	almost
uzraudzības	surveillance
tīrs	pure
tīrs	clean
konflikti	conflicts
konflikti	conflict
sārmu	alkali
sārmu	alkaline
mijiedarbība	interaction
mijiedarbība	interactions
kritiski	critical
markss	marx
tulkots	translated
nintendo	nintendo
jfk	jfk
sertificēts	certified
sertificēts	certificated
internazionale	internazionale
kurši	curonians
izvietot	deploy
piecpadsmit	fifteen
mācīja	taught
tipiski	typically
tipiski	typical
teritoriāli	territorially
spartaks	spartacus
laukiem	fields
blīvi	densely
urālu	ural
mir	mir
sems	sam
viltus	false
viltus	fake
apmaiņā	interchange
maisījums	mix
maisījums	mixture
maisījums	blend
dalīšanās	sharing
automašīna	car
pievienojies	join
extra	extra
lēna	lena
lēna	slow
plānus	plans
aizstāvji	defenders
amsterdamā	amsterdam
sīrija	syria
jaunieši	youth
milzīgs	huge
milzīgs	tremendous
adatas	needle
adatas	needles
tūre	tour
novērtēt	assess
novērtēt	evaluate
novērtēt	appreciating
intensitāte	intensity
intensitāte	intensities
ovis	ovis
jūdžu	mile
riteņbraukšana	biking
kļūmes	failures
kļūmes	glitches
tulkojumi	translations
allmusic	allmusic
sajūta	feeling
aizdomas	suspect
aizdomas	suspicion
aizdomas	suspicions
unikāls	unique
tic	tic
daina	daina
domāja	thought
pretinieki	opponents
pretinieki	enemies
alba	alba
garsija	garcia
indes	poisons
pieaugušiem	adults
keita	kate
vienkāršā	simple
vienkāršā	elementary
drēzdenes	dresden
cieš	suffering
cieš	suffer
sitiens	shot
pasliktinājās	worsened
pasliktinājās	deteriorated
adrijas	adriatic
zemāks	lower
stratēģiski	strategically
stratēģiski	strategic
haizivs	shark
haizivs	dogfish
kabeļu	cable
interjera	interior
linga	linga
apmatojums	hair
sadalīšanās	partitioning
sadalīšanās	decomposition
hornets	hornets
itunes	itunes
lūdz	asks
lūdz	requesting
lūdz	prays
cola	cola
stadija	stage
apsūdzības	indictment
apsūdzības	accusations
mantu	dope
rīks	tool
lexikon	lexikon
cerēja	hoped
lokomotīvju	locomotive
komunisti	communists
ģeogrāfisko	geographic
imperatori	emperors
xml	xml
gruzija	georgia
veģetācijas	vegetation
imdb	imdb
vakaros	evenings
panda	panda
zīmols	branding
zīmols	brand
būtnes	beings
degviela	fuel
piedāvājums	tender
piedāvājums	bid
piedāvājums	offers
piedāvājums	supply
piedāvājums	offer
duets	duets
rīkoties	act
timberwolves	timberwolves
aprakstītas	described
aizmugurējā	rear
stāvus	upright
kritizēja	criticised
zieds	flower
akcija	share
novērš	avoids
novērš	prevents
novērš	prevent
ieguvēja	acquirer
raidījums	broadcast
gāza	overthrew
ābele	abele
caurules	pipe
caurules	pipes
caurules	tubes
caurules	tube
kimi	kimi
priekškājām	forefoot
gauja	gauja
zobiem	teeth
pieprasa	requesting
uzpildes	filling
ģeogrāfiski	geographically
agnese	agnese
agnese	agnes
timbaland	timbaland
cēloņi	causes
āpsis	badger
dziļa	deep
nelaimes	accidents
filipīnas	philippines
egons	egon
