反正 anyway
捍衛 defend
捍衛 defending
海邊 seaside
奔跑 running
括號 bracket
括號 brackets
門口 doorway
震驚 shocking
震驚 shock
震驚 shocked
貨櫃 container
貨櫃 containers
協作 collaborate
協作 collaborative
協作 collaborations
協作 collaboration
郵件 mail
無視 ignore
無視 disregard
無視 ignoring
代理人 proxies
代理人 agents
代理人 proxy
代理人 agent
材質 material
呂宋 luzon
美味 tasty
美味 yummy
美味 delicious
虧損 loss
虧損 losses
虧損 deficit
熔 melt
口袋 pocket
口袋 pockets
蜜蜂 bees
蜜蜂 bee
吸入 inhaling
吸入 inhale
吸入 inhalation
瑜伽 yoga
安第斯山脈 andes
硫磺 sulfur
硫磺 sulphur
快艇 speedboats
快艇 speedboat
茉莉 molly
療法 therapy
療法 therapies
包機 chartered
包機 charters
注意力 attention
狐狸 fox
石灰岩 limestone
閏 leap
站立 standing
站立 stand
鼓吹 advocate
鼓吹 advocating
鼓吹 preach
吞噬 devouring
風車 windmill
風車 windmills
印度支那 indochina
同化 assimilate
同化 assimilated
同化 assimilation
對峙 confrontation
對峙 standoff
常年 perennial
鍋 pot
鍋 pots
鍋 wok
職責 duty
職責 duties
孵化 incubation
孵化 hatched
孵化 hatching
孵化 hatch
大連 dalian
文藝復興 renaissance
忠誠 loyal
忠誠 loyalty
忠誠 faithful
祖國 motherland
祖國 homeland
祖國 fatherland
休士頓 houston
舍利 cheri
供電 electricity
高祖 gaozu
四肢 limbs
莎莉 sally
視窗 windows
視窗 window
抗原 antigen
抗原 antigens
老化 aging
老化 ageing
多哈 doha
守護者 guardian
守護者 guardians
經紀人 broker
發育 developmental
槍口 muzzle
仇恨 hatred
仇恨 hate
矮人 dwarf
琵琶 pipa
不規則 irregular
菩提 bodhi
穩定性 stability
混沌 chaos
鑰匙 key
世襲 hereditary
櫻桃 cherry
櫻桃 cherries
執事 deacon
哀悼 condolences
哀悼 mourning
摩托車 motorbike
摩托車 motorcycle
摩托車 motorcycles
加重 aggravated
加重 aggravating
地雷 landmines
地雷 mines
大亨 mogul
大亨 tycoon
安慰 comfort
安慰 comforting
空手道 karate
乾燥 dry
乾燥 drying
點數 credits
點數 points
警示 alerts
警示 alert
土佐 tosa
潛力 potential
潛力 potentials
開墾 reclamation
勞倫斯 lawrence
班級 classes
班級 class
長年 perennial
低溫 hypothermia
低溫 cryogenic
奧斯汀 austin
吉野 yoshino
推算 extrapolation
送出 send
管理者 manager
管理者 managers
哈桑 hassan
委派 assignment
卸 unloading
聚焦 focusing
聚焦 focus
全景 panorama
佐賀 saga
後宮 harem
佛羅里達 florida
誤導 misdirection
誤導 misleading
誤導 misguided
工地 site
比丘 picchu
特質 trait
腎 kidneys
腎 renal
腎 kidney
波恩 bonn
回憶錄 memoirs
回憶錄 memoir
鈎 hook
鈎 hooks
大修 overhaul
觸發 trigger
觸發 triggering
觸發 triggered
觸發 triggers
仁愛 benevolence
未婚 unmarried
香水 fragrances
香水 fragrance
香水 perfume
美式 american
診所 clinics
診所 clinic
大膽 bold
胚胎 embryo
胚胎 embryonic
胚胎 embryos
感知 perception
感知 perceive
感知 perceptions
違規 violation
違規 breach
鈣 calcium
民主化 democratization
民主化 democratisation
關節 joint
關節 joints
淡出 fade
煤礦 coal
宣揚 preach
學期 semester
學期 term
占卜 divination
官司 lawsuit
侵蝕 encroachment
侵蝕 erosion
後勤 logistics
後勤 logistic
後勤 logistical
固體 solid
固體 solids
寄宿 boarding
寄宿 residential
鼻子 nose
芝麻 sesame
瓷器 porcelain
勐 mueang
諜 spy
訂單 order
訂單 orders
特權 privilege
特權 privileges
漁民 fishermen
漁民 fishers
漁民 fisherman
徵求 soliciting
水解 hydrolysis
痕跡 traces
朝陽 chaoyang
柏木 kashiwagi
猩猩 gorilla
猩猩 orangutan
猩猩 ape
常任 permanency
證人 witnesses
證人 witness
日內瓦 geneva
梅森 mason
本體 ontology
女巫 witch
擁抱 hug
擁抱 embrace
擁抱 cuddles
擁抱 hugs
西邊 west
滑行 glide
千伏 kv
出國 abroad
陣列 arrays
陣列 array
耐心 patience
紡織 textile
紡織 textiles
潛水 diving
潛水 dive
合法性 legitimacy
合法性 legality
合法性 lawfulness
竇 sinus
竇 dog
竇 dou
擾亂 disruption
同源 homologous
事前 beforehand
吸引力 attractiveness
吸引力 attraction
吸引力 appealing
吸引力 attractive
甘蔗 sugarcane
甘蔗 cane
哭泣 cry
哭泣 crying
賭博 gambling
賭博 gamble
功效 efficacy
成型 forming
成型 molding
腫瘤 tumor
腫瘤 tumour
紀律 discipline
紀律 disciplines
酷刑 torture
口服 oral
廣東話 cantonese
嚴謹 strict
三叉戟 trident
展品 exhibit
展品 exhibits
仰光 yangon
豁免 exemption
豁免 immunity
豁免 exemptions
豁免 immunities
南昌市 nanchang
反潛 asw
史詩 epic
推斷 extrapolating
推斷 extrapolation
推斷 inference
推斷 inferred
花絮 trivia
暹羅 siamese
暹羅 siam
鑄造 casting
淮海 huaihai
刪去 delete
礦物 minerals
礦物 mineral
麻醉 anesthetic
麻醉 anaesthetic
麻醉 anesthesia
加深 deepening
加深 deepen
加深 deepened
加深 deepens
攝政 regent
褶 pleated
芳香 aromatic
芳香 fragrance
芳香 aroma
民謠 ballad
民謠 folk
明文 explicit
服務業 services
守衛 guards
守衛 guard
氣球 balloon
氣球 balloons
籃板 reb
籃板 rebounds
遣返 repatriation
倫理 ethical
倫理 ethics
一幕 scene
摸 touch
推論 corollary
推論 inference
推論 inferences
投放 delivery
神學院 seminary
憲政 constitutional
瀋陽 shenyang
艾瑪 emma
類比 analogies
類比 analogous
類比 analog
類比 analogy
忠孝 zhongxiao
雅加達 jakarta
通宵 overnight
對照 contrast
膨脹 expansion
營利 profit
營利 profitability
良心 conscience
位移 displacement
招標 tender
招標 tendering
招標 solicitation
傳道 preach
波羅的海 baltic
雨傘 umbrella
雨傘 umbrellas
花生 peanut
花生 peanuts
閃光 flash
閃光 glitter
和弦 chord
和弦 chords
子爵 vicomte
子爵 viscount
削減 cutbacks
削減 cutting
削減 cut
削減 cuts
視察 inspections
視察 inspection
髮型 hair
髮型 hairstyle
里根 reagan
叛變 mutiny
殘酷 cruel
殘酷 cruelty
殘酷 brutal
牧場 pasture
牧場 ranch
單身 single
大自然 nature
犀 rhinoceros
九個 nine
雇用 hire
雇用 hiring
悲傷 sadness
悲傷 sad
僧侶 monk
僧侶 monks
拂 whisk
情境 situational
恐嚇 intimidation
沒收 forfeiture
沒收 confiscation
沒收 confiscated
粉紅 pink
反向 reverse
北九州 kitakyushu
分身 alters
原油 crude
浴 bathing
浴 bath
感恩 gratitude
感恩 thankful
感恩 grateful
感恩 thanksgiving
生氣 angry
星期天 sundays
星期天 sunday
工房 kobo
塵埃 dust
塵埃 fallout
平滑 smooth
平滑 smoothing
加速器 accelerator
弩 crossbow
側面 flank
穆爾 moore
薄弱 weakness
薄弱 weak
指明 specify
諸葛 zhuge
謊言 lie
謊言 lies
宙斯 zeus
越共 vietcong
野獸 beast
填充 padding
填充 filling
填充 fill
起因 causes
水分 moisture
縫 sew
縫 sewing
高分子 polymer
反省 introspection
反省 reflection
飛越 overflights
飛越 overflight
敲 knock
頂端 top
角落 corner
角落 corners
淋巴 lymphatic
狂熱 craze
狂熱 fanaticism
郵輪 cruises
郵輪 cruise
燈光 lights
燈光 light
瑪利亞 maria
抗衡 counterbalance
太陽能 solar
儲備 reserves
儲備 reserve
反對派 opposition
藤本 fujimoto
舵 rudder
舵 helm
池塘 pond
講話 speech
離任 outgoing
激發 inspire
激發 excitation
激發 stimulate
禁忌 taboos
禁忌 forbidden
禁忌 taboo
假說 hypotheses
假說 hypothesis
邪教 cult
醚 ether
醚 ethers
孢子 spores
孢子 spore
噴 spray
榮耀 glory
偽裝 disguise
偽裝 camouflage
偽裝 disguises
鳩 dove
叛軍 rebel
叛軍 rebels
家園 homeland
波動 fluctuation
波動 volatile
波動 fluctuations
波動 volatility
層次 layers
層次 level
矽 silicon
繡 embroidery
繡 embroidered
閘門 floodgates
匹茲堡 pittsburgh
笨 stupid
少了 less
康復 healing
康復 rehabilitation
康復 recovery
大院 compound
沙洲 sandbar
布希 bush
莊園 manor
欺騙 cheat
欺騙 cheating
欺騙 deception
磁性 magnetic
磁性 magnetism
內政 interior
花朵 flowers
花朵 flower
造訪 visiting
炸藥 dynamite
炸藥 explosive
炸藥 explosives
皮革 leather
古人 ancients
徒弟 disciple
徒弟 apprentice
下限 floor
牛仔 cowboys
牛仔 cowboy
親戚 relative
親戚 relatives
勘探 prospecting
勘探 exploration
結晶 crystallization
微米 micron
橢圓形 oval
追查 tracing
疑慮 doubt
疑慮 doubts
公孫 gongsun
上學 school
路線圖 roadmap
窯 kilns
窯 ware
窯 kiln
紅十字會 icrc
乳房 breast
乳房 breasts
正宗 authentic
流血 bleeding
凍 freezing
諾亞 noah
下落 whereabouts
歸屬 attribution
感興趣 interested
鹽水 saline
鹽水 saltwater
館長 curator
偷偷 sneak
毫克 mg
毫克 milligrams
骨折 fracture
骨折 fractured
史學 historiography
泳池 pool
舉例 examples
切除 excision
黏 sticky
灰姑娘 cinderella
牙買加 jamaica
主宰 dominate
迦太基 carthage
渡假 vacation
偏差 deviation
偏差 deviations
偏差 bias
陰影 shadows
陰影 shadow
陰影 shade
驚訝 surprised
鱷魚 crocodile
鱧 snakehead
殘骸 wreckage
殘骸 wreck
幾內亞 guinea
籽 seeds
付款 disbursement
付款 pay
付款 disbursements
付款 payments
付款 payment
白銀 silver
水牛 buffalo
水牛 buffaloes
面部 facial
護航 escort
各部 ministries
共生 symbiotic
共生 symbiosis
厭惡 disgusted
厭惡 disgust
厭惡 aversion
孫子 grandchild
孫子 grandchildren
孫子 grandson
黑幫 gangster
黑幫 gangs
師父 master
瑞穗 mizuho
寶寶 baby
線索 clue
線索 clues
車庫 garage
綠黨 greens
無畏 fearless
損傷 injury
損傷 damage
缺口 gaps
缺口 gap
列舉 enumeration
精華 essence
分流 diversion
分流 shunt
分流 triage
刮 scratch
蟒 python
發起人 initiators
發起人 initiator
≤ ≤
口語 spoken
力學 mechanics
工匠 craftsmen
工匠 artisans
工匠 craftsman
處罰 penalty
處罰 penalties
處罰 punishment
名聲 reputation
序幕 prelude
序幕 prologue
醋 vinegar
岬 promontory
代理商 agency
代理商 agents
代理商 agent
舒適 comfort
舒適 cozy
舒適 comfy
舒適 comfortable
嘲笑 mock
充電 recharging
充電 charge
充電 charging
鎳 nickel
哲也 tetsu
飛翔 fly
飛翔 flying
礦業 mining
地勢 terrain
人馬座 sagittarius
谷地 valley
桃子 peaches
桃子 momoko
桃子 peach
電纜 cabling
電纜 cables
電纜 cable
蝨 lice
蝨 louse
田野 fields
腐敗 corrupt
腐敗 corruption
副總裁 vp
少數民族 minority
少數民族 minorities
無聊 boring
無聊 bored
藉口 excuses
造船廠 shipyard
女朋友 girlfriend
顎 jaw
顎 palate
酒館 tavern
酒館 pub
政治學 politics
飛碟 ufos
飛碟 ufo
郊外 outskirts
草甸 meadows
供給 supply
請願 petitions
請願 petition
荒漠 desert
荒漠 deserts
潟湖 lagoon
鹿角 antlers
先天 congenital
先天 innate
