indonesien	indonesia
messungen	mediciones
vergabe	adjudicación
seven	seven
komm	ven
risiken	riesgos
wettkampf	competición
markgrafen	margrave
herzöge	duques
konzeption	concepción
beleidigung	insulto
beleidigung	insultos
differenzen	diferencias
simone	simone
championships	championships
besuchten	visitaron
verschwand	desapareció
datierung	datación
inter	inter
braunschweiger	braunschweiger
fühlen	sensación
fühlen	sentir
bratislava	bratislava
nächstes	siguiente
potok	potok
ming	ming
grace	grace
elektronen	electrones
klassisch	clásica
klassisch	clásico
mosel	mosela
vereinbart	acordado
vereinbart	convenido
stuhl	silla
neffen	sobrinos
neffen	sobrino
zustände	estados
beweise	pruebas
neuhaus	neuhaus
magister	magistrado
republikaner	republicanos
republikaner	republicano
grabmal	tumba
nachwuchs	descendencia
laufzeit	duración
minderheiten	minorías
einschränkungen	limitaciones
einschränkungen	restricciones
some	some
biologische	biológica
nützlich	útil
nützlich	útiles
wiedergewählt	reelegido
druckerei	imprenta
lambert	lambert
lima	lima
dog	dog
buchhandlung	librería
modernisierung	modernización
angeklagt	acusado
vermont	vermont
schädel	cráneo
toyota	toyota
willkürlich	arbitraria
willkürlich	arbitrario
stiftungen	fundaciones
schuster	zapatero
nepomuk	nepomuk
dec	dec
formulieren	formular
formulieren	formule
beschreibungen	descripciones
mbh	mbh
television	television
thesen	tesis
münden	desembocar
kate	kate
hanna	hanna
hervorgehoben	subrayado
hervorgehoben	destacado
gregory	gregory
return	return
balken	vigas
balken	viga
cia	cia
taufe	bautismo
kompetenz	competencia
fordern	exigimos
fordern	exigir
eingliederung	integración
eingliederung	inserción
race	race
kay	kay
chur	chur
schmitz	schmitz
socke	calcetín
pittsburgh	pittsburgh
prosa	prosa
bosch	bosch
romantik	romance
signale	señales
irish	irish
mechanik	mecánica
schenk	schenk
karosserie	carrocería
sigmaringen	sigmaringen
unterbrechung	interrupción
nachname	apellido
ewig	eterno
ewig	eternos
pädagogische	pedagógica
geladen	cargada
geladen	cargando
geladen	cargado
romanen	novelas
here	here
manuskript	manuscrito
fasst	resume
landgraf	landgraf
scheiterten	fracasaron
pölten	pölten
plastik	plásticos
plastik	plástico
lehnt	rechaza
ausbreitung	propagación
montevideo	montevideo
neuss	neuss
beta	beta
beschränken	limitar
beschränken	restringir
tunesien	túnez
hintergründe	antecedentes
diagnose	diagnosis
diagnose	diagnóstico
verstärkung	refuerzo
verstärkung	amplificación
justin	justin
zurückziehen	retirada
zurückziehen	retirarse
zurückziehen	retirar
transformation	transformación
ingo	ingo
rebellen	rebeldes
saur	saur
konzil	concilio
tochtergesellschaft	filial
tochtergesellschaft	filiales
vorbehalten	reservados
vorbehalten	reservado
großmutter	abuela
maurer	albañil
extreme	extrema
extreme	extreme
ostern	pascua
saga	saga
ravensburg	ravensburg
irgendein	cualquiera
schienen	rieles
schienen	carriles
terminal	terminal
fähig	capaz
trend	tendencias
trend	tendencia
währung	moneda
umgestaltung	remodelado
umgestaltung	rediseño
telefon	teléfono
ligen	ligas
colonel	coronel
feinde	enemigos
fiat	fiat
fragmente	fragmentos
opus	opus
zwangsläufig	necesariamente
zwangsläufig	inevitablemente
nordwest	noroeste
weiterentwickelt	evolucionado
klinische	clínica
hong	hong
kostet	cuesta
