indikerer	indicates
renovering	refurbishment
face	face
mineraler	minerals
bosættelser	settlements
kontrolleret	checked
kontrolleret	controlled
kontrolleret	verified
flair	flair
break	break
done	done
radar	radar
elias	elias
hertz	hz
hertz	hertz
halsen	throat
halsen	neck
nancy	nancy
repræsentation	representation
sprang	jumped
sprang	skipped
tårne	towers
glee	glee
gotisk	gothic
tvinge	compel
spirit	spirit
fed	bold
fed	fat
iss	iss
ministerium	ministry
tusinder	thousands
thott	thott
ækvator	equator
shepherd	shepherd
prøvet	tried
prøvet	tested
thompson	thompson
daily	daily
aristoteles	aristotle
biografier	biographies
sagn	legend
sagn	folklore
sagn	legends
blank	glossy
blank	blank
dårligere	worse
alpes	alpes
nature	nature
asger	asger
aktuelt	current
aktuelt	topical
aktuelt	currently
speed	speed
argentinske	argentine
zagreb	zagreb
leningrad	leningrad
tilfældigt	random
tilfældigt	coincidence
tilfældigt	randomly
atlantis	atlantis
smart	clever
smart	fancy
smart	smart
fangenskab	captive
fangenskab	captivity
holding	holding
oder	oder
roland	roland
turner	turner
primitive	primitive
wing	wing
udnævnelse	nomination
udnævnelse	appointment
nytte	usefulness
nytte	utility
eit	eit
ligue	ligue
joan	joan
afhængige	dependent
afhængige	addicted
afhængige	addicts
dirty	dirty
cirkus	circus
cirkus	circuses
hud	hud
hud	skin
landing	landing
skyder	shoot
skyder	shoots
skyder	shooting
skyder	firing
indledning	introduction
indledning	initiation
præsenterede	presented
dekoreret	decorated
syndrom	syndrome
samsøe	samsøe
orientering	briefing
orientering	orientation
bin	bin
floyd	floyd
hegn	fencing
hegn	fences
hegn	fence
liège	liege
liège	liège
lilla	purple
massiv	massive
bros	bros
meninger	opinions
groft	rough
groft	roughly
groft	coarse
krydset	intersection
krydset	crossed
overdrev	exaggerated
ulfeldt	ulfeldt
ledsaget	accompanied
slagskibe	battleships
iowa	iowa
litteraturen	literature
gennemgang	review
drager	kites
drager	dragons
butler	butler
kaos	mayhem
kaos	kaos
kaos	chaos
marina	marina
arrangerede	arranged
augustenborg	augustenburg
konsul	consul
kvaliteten	quality
sværere	harder
cfg	cfg
teknikken	technique
pablo	pablo
split	split
hangarskibe	carriers
geologi	geology
johnston	johnston
luftwaffe	luftwaffe
begrænsninger	limitations
begrænsninger	restrictions
begrænsninger	limitation
begrænsninger	limits
begrænsninger	constraints
gaver	gifts
gaver	presents
soldaterne	soldiers
oplevelse	experience
mystiske	mysterious
mystiske	mystical
mystiske	mystic
massakren	massacre
paradise	paradise
sri	sri
kvartfinalen	quarterfinals
filosofisk	philosophical
glade	happy
krater	crater
bestilt	commissioned
bestilt	booked
bestilt	ordered
cola	coke
cola	cola
overlay	overlay
queens	queens
moser	moser
moser	bogs
astronomi	astronomy
afsluttende	finishing
afsluttende	closing
afsluttende	final
emilie	emelie
emilie	emilie
utah	utah
profession	profession
rigeste	wealthiest
rigeste	richest
forretningsmand	businessman
karakterer	grades
karakterer	characters
provinserne	provinces
joint	joint
ondt	evil
ondt	hurt
ondt	cruel
arving	heiress
arving	heir
fattig	poor
juliane	juliane
nedrykning	relegation
funktionen	function
funktionen	feature
mainsnak	mainsnak
dagmar	dagmar
avanceret	advanced
fauna	fauna
udsatte	deferred
udsatte	postponed
udsatte	vulnerable
craig	craig
beregninger	calculations
varieret	varied
stjernen	star
håndværkere	craftsmen
håndværkere	artisans
skånske	scanian
kalk	calcium
kalk	lime
distribution	distribution
bonn	bonn
smal	narrow
mekaniske	mechanical
litterær	literary
fylde	restock
fylde	fill
dokumentar	documentary
farvande	waters
platforme	platforms
platforme	rigs
gener	nuisance
gener	genes
generaler	generals
teatre	theatres
teatre	theaters
understøtter	supports
flytning	moving
flytning	relocation
flytning	movement
munke	monks
undersøgte	investigated
undersøgte	examined
mexicansk	mexican
dtu	dtu
gottlieb	gottlieb
jung	jung
slægtens	ascendance
sheffield	sheffield
offensiven	offensive
truman	truman
turnerede	toured
harbor	harbor
elektroner	electrons
anerkende	acknowledge
anerkende	recognise
viby	viby
påstande	claims
påstande	allegations
påstande	assertions
riges	reich
eftermiddagen	afternoon
kigger	looking
kigger	watching
cm³	cm³
wisconsin	wisconsin
deutschen	deutschen
crystal	crystal
vedligeholdelse	maintenance
sid	sid
homo	homo
malcolm	malcolm
perfekt	perfect
fugtige	moist
fugtige	humid
cat	cat
seere	viewers
sild	herring
udfald	outcome
udfald	outcomes
persisk	persian
forudsætning	precondition
forudsætning	premise
forudsætning	prerequisite
hovedperson	protagonist
wanderers	wanderers
commonwealth	commonwealth
kunstig	artificial
dos	dos
fods	foot
spørge	asking
oregon	oregon
bordeaux	bordeaux
fænomenet	phenomenon
earl	earl
dramatiker	playwright
bæres	worn
fotos	photographs
fotos	photos
heeresgruppe	heeresgruppe
stage	stage
salling	salling
skovgaard	skovgaard
mistanke	suspicions
mistanke	suspect
mistanke	suspected
mistanke	suspicion
digitalt	digitally
digitalt	digital
antager	assume
antager	assumes
antager	assuming
paradis	paradise
dinesen	dinesen
svømmer	swims
svømmer	swimming
svømmer	swimmer
maine	maine
helikoptere	helicopters
afgrænset	defined
afgrænset	demarcated
afgrænset	delimited
afgrænset	delineated
afgrænset	bounded
moderat	moderate
moderat	moderately
malling	malling
brændende	burning
friends	friends
købmænd	merchants
dedikeret	dedicated
kontinent	continent
baser	bases
gemt	hidden
gemt	saved
oplyste	lit
oplyste	enlightened
tang	tang
tang	seaweed
tang	forceps
opretter	creates
opretter	create
opretter	creating
opretter	creator
midterste	middle
forkerte	wrong
affald	waste
affald	wastes
maximilian	maximilian
suzuki	suzuki
jelena	jelena
positioner	positions
lægen	doctor
taktik	tactics
taktik	tactic
medina	medina
munden	mouth
konrad	konrad
kæmpet	struggled
kæmpet	fought
filmet	filmed
arkiveret	archived
arkiveret	filed
demonstrationer	protests
demonstrationer	demonstrations
rocky	rocky
henningsen	henningsen
larsson	larsson
footballdatabase	footballdatabase
afviser	rejects
bemærkede	noted
sorg	grief
sorg	sadness
sorg	sorrow
sorg	mourning
schrøder	schrøder
edith	edith
olof	olof
