adresa	address
preporučuje	recommends
preporučuje	recommended
predsjednici	presidents
dodavanja	adding
robovi	slaves
zadatke	assignments
zadatke	tasks
posjeti	visit
posjeti	visits
posjeti	visiting
ekonomist	economist
emitiranje	broadcast
emitiranje	broadcasting
kapelan	chaplain
iata	iata
borbena	feisty
parkova	parks
pločice	tile
pločice	tiles
izrazi	expressions
vladislav	vladislav
vulkan	volcano
vulkan	vulcan
crocidura	crocidura
jacob	jacob
odvodi	drains
purcell	purcell
katoličanstvo	catholicism
vegetacije	vegetation
naizgled	seemingly
rasbora	rasbora
okružuju	surrounding
okružuju	surround
inspektor	inspector
intervencije	interventions
intervencije	intervention
tucker	tucker
porez	tax
porez	taxes
jame	pits
jame	pit
portland	portland
rovinj	rovinj
diana	diana
pretpostavka	conjecture
pretpostavka	assumption
predgrađu	suburb
predgrađu	suburban
predgrađu	suburbs
isaac	isaac
gljive	mushrooms
gljive	mushroom
pojačanje	reinforcements
pojačanje	backup
logore	camps
tumora	tumor
sjeme	seed
sjeme	seeds
lucija	lucius
lucija	lucija
lucija	lucia
rožnice	corneas
rožnice	cornea
rožnice	corneal
branitelj	defender
poljoprivredi	agriculture
preostalo	remaining
dunal	dunal
silvio	silvio
majica	shirt
zur	zur
algonquian	algonquian
izgubiti	lose
smjernice	guidance
smjernice	guidelines
srebrni	silver
estonija	estonia
ibrahim	ibrahim
hladno	cold
duhovno	spiritual
duhovno	spiritually
eduardo	eduardo
elongatus	elongatus
ehrenberg	ehrenberg
armenija	armenia
grace	grace
vladavinu	reign
basilewsky	basilewsky
otte	otte
radar	radar
komentare	comments
pérez	pérez
prebivalište	residence
samobor	samobor
eagle	eagle
droga	drugs
droga	drug
mlađa	younger
pogubljen	executed
hydroptila	hydroptila
julia	julia
tin	tin
baba	baba
moto	motto
moto	moto
bombardiranje	bombardment
bombardiranje	bombing
goli	naked
goli	nude
moral	morale
moral	morals
moral	morality
jamie	jamie
camus	camus
fiba	fiba
podržavao	supported
punjenje	charging
andromeda	andromeda
najjači	strongest
rase	races
označena	tagged
označena	marked
wattenwyl	wattenwyl
valove	waves
con	con
rey	rey
hunter	hunter
tajno	secretly
tajno	secret
akt	act
poglavice	chiefs
etimologija	etymology
seks	sex
locke	locke
melichar	melichar
uha	ear
qld	qld
ponuda	offers
ponuda	offer
holm	holm
unutra	inside
meč	match
familia	familia
jutra	mornings
aplikacije	applications
aplikacije	apps
čaj	tea
ine	ine
