los	die
aragón	aragonien
juega	spielt
rico	lecker
rico	reich
rico	reiches
sonido	sound
sonido	ton
sonido	klang
usar	verwenden
mesa	tisch
mesa	präsidium
queda	bleibt
granada	granatapfel
granada	granada
pasar	verbringen
objeto	gegenstand
objeto	objekt
generales	generäle
formado	gebildet
formado	geformt
apertura	blende
apertura	öffnung
apertura	offenheit
apertura	eröffnung
geografía	geografie
geografía	geographie
geografía	erdkunde
análisis	analyse
análisis	analysen
protección	schutz
géneros	genres
familias	familien
notas	notizen
notas	anmerkungen
american	american
proyectos	projekte
proyectos	vorhaben
white	whites
white	white
funciones	funktionen
funciones	aufgaben
corona	kronen
corona	krone
apareció	erschienen
apareció	erschien
apareció	aufgetaucht
guillermo	guillermo
guillermo	wilhelm
prensa	presse
escena	szene
versiones	versionen
versiones	fassungen
www	www
isabel	isabel
isabel	elisabeth
gómez	gómez
numerosas	zahlreiche
puerta	tür
puerta	türe
mario	mario
romano	römischen
romano	romano
romano	römisch
griego	griechischen
griego	grieche
griego	griechisch
griego	griechische
thomas	thomas
all	all
tuvieron	hattet
tuvieron	hatten
habla	sprich
habla	sprecht
habla	spricht
cierto	wahr
cierto	stimmt
crisis	krise
crisis	krisen
efectos	wirkungen
efectos	effekte
efectos	wirkung
efectos	auswirkungen
memoria	gedächtnis
memoria	erinnerung
memoria	arbeitsspeicher
memoria	speicher
orquesta	orchester
creó	erschuf
creó	erstellte
creó	schuf
siglos	jahrhunderten
siglos	jahrhunderte
siglos	jahrhundertelang
montaña	berg
mantener	halten
mantener	beibehalten
#aaa	#aaa
austria	österreich
llegada	ankunft
construido	gebaut
construido	errichtet
construido	konstruiert
construido	erbaut
martin	martin
berlín	berlin
llama	flamme
llama	ruf
directamente	unmittelbar
directamente	direkt
comité	ausschuss
comité	komitee
javier	javier
capilla	kapelle
probablemente	vermutlich
probablemente	wahrscheinlich
bolivia	bolivien
poeta	poet
poeta	dichter
tradición	tradition
podía	konnte
provincias	provinzen
autónoma	autonomen
autónoma	autonom
hojas	blätter
hojas	blättern
ricardo	ricardo
soviética	sowjetischen
tomar	nehmen
necesario	erforderlich
necesario	notwendig
filosofía	philosophie
periodista	reporterin
periodista	journalist
periodista	journalistin
periodista	reporter
texas	texas
jugar	spielen
operación	operation
papa	papst
latinos	latinos
firma	signatur
firma	unterzeichnung
firma	unterschrift
firma	unterschreiben
nacionalidad	staatszugehörigkeit
nacionalidad	staatsbürgerschaft
nacionalidad	nationalität
nacionalidad	staatsangehörigkeit
patrimonio	kulturerbe
patrimonio	erbe
regiones	regionen
poesía	dichtung
poesía	poesie
poesía	lyrik
poesía	gedichte
hermana	schwester
decide	entscheidet
decide	beschließt
decide	entscheide
alianza	bündnis
alianza	allianz
respuesta	antwort
google	google
pruebas	tests
pruebas	beweise
richard	richard
médico	arzt
marina	marina
eventos	veranstaltungen
eventos	events
eventos	ereignisse
exterior	außen
exterior	aussen
músicos	musikern
músicos	musiker
visto	gesehen
visto	angesehen
estudió	studierte
suiza	schweiz
coronel	colonel
coronel	oberst
parroquia	pfarrei
física	physik
dan	dan
presentó	präsentierte
anteriormente	zuvor
práctica	praxis
grecia	griechenland
zaragoza	zaragoza
exposición	ausstellung
exposición	exposition
exposición	belichtung
industrial	industrielle
asiáticos	asiaten
fundada	gegründet
enfermedad	krankheit
enfermedad	erkrankung
nba	nba
colonia	köln
colonia	kolonie
díaz	diaz
nación	nation
show	show
national	national
anunció	kündigte
anunció	angekündigt
anunció	verkündete
extensión	verlängerung
extensión	ausdehnung
extensión	erweiterung
régimen	drehzahl
régimen	regime
dinero	geld
suelo	boden
suelo	bodenbelag
aparición	erscheinung
aparición	auftritt
operaciones	operationen
concepto	konzept
calles	strassen
calles	straßen
hechos	fakten
hechos	apostelgeschichte
hechos	sachverhalt
hechos	tatsachen
pronto	bald
gestión	verwaltung
hall	hall
recibe	empfängt
recibe	erhält
salida	ausfahrt
salida	ausgang
salida	abreise
salida	abfahrt
capítulo	kapitel
acciones	aktionen
acciones	handlungen
acciones	aktien
pertenece	gehört
cristo	christus
medicina	medizin
evolución	evolution
evolución	entwicklungen
evolución	entwicklung
modelos	models
modelos	modelle
venta	verkauf
venta	verkaufen
tomó	nahm
fundador	gründer
piano	klavier
procedencia	herkunft
roberto	roberto
ganar	gewinnen
ganar	verdienen
pintor	maler
evento	ereignis
evento	veranstaltung
alemana	deutsche
rosario	rosenkranz
rosario	rosario
solamente	nur
pertenecían	gehörten
hispanos	hispanischen
conocimiento	wissen
conocimiento	kenntnis
conocer	kennenlernen
términos	begriffe
debajo	darunter
generación	generation
generación	erzeugung
bronce	bronze
tabla	tabelle
vio	sah
armada	bewaffnet
armada	armada
armada	bewaffneten
pareja	paar
producto	produkt
producto	erzeugnis
territorios	territorien
territorios	territorium
gol	tor
institución	institution
ingeniero	ingenieur
luna	mond
reconocimiento	bekanntheit
reconocimiento	anerkennung
reconocimiento	namensnennung
organizaciones	organisationen
llevar	führen
llevar	mitnehmen
llevar	tragen
adelante	vorwärts
asamblea	versammlung
enlace	anbinden
enlace	link
enlace	verknüpfung
till	till
traducción	übersetzung
traducción	übersetzen
traducción	übersetzungen
máxima	maximale
contaba	zählte
fundado	gegründet
paraguay	paraguay
alguien	irgendjemand
alguien	jemand
alguien	jemanden
ganador	sieger
estrellas	sternen
estrellas	sterne
estrellas	stars
sangre	blut
resistencia	widerstand
resistencia	resistenz
resistencia	beständigkeit
resistencia	festigkeit
continuación	fortsetzung
conflicto	konflikte
conflicto	konflikt
software	software
volumen	lautstärke
volumen	volumen
xxi	xxi
técnico	techniker
técnico	technisch
humano	mensch
humano	menschlich
consecuencia	folge
colaboración	mitarbeit
colaboración	zusammenarbeit
colaboración	kollaboration
colores	farben
falleció	verstarb
per	per
materiales	materialien
materiales	werkstoffe
carta	brief
carta	charta
centros	zentren
categorías	kategorien
tenido	gehabt
fiestas	partys
fiestas	feste
fiestas	feiertage
japonés	japanische
japonés	japanisch
japonés	japaner
opinión	meinung
franco	freimütig
franco	franco
temperatura	temperatur
propuesta	vorschlag
eds	eds
decreto	erlaß
decreto	dekret
decreto	erlass
decisión	beschluss
decisión	entscheidung
concepción	konzeption
concepción	empfängnis
cara	gesicht
cara	angesicht
carolina	caroline
carolina	carolina
lee	lies
lee	lee
lee	liest
botánica	botanik
botánica	botanische
maria	maria
editor	redakteur
editor	herausgeber
editor	verleger
editor	editor
polonia	polen
hogar	zuhause
hogar	heimat
experiencia	erfahrung
experiencia	erfahrungen
mantuvo	behielt
abierto	offene
abierto	übersichtlich
abierto	offen
abierto	geöffnet
abierto	öffnen
noroeste	nordwesten
noroeste	nordwest
participantes	teilnehmerinnen
participantes	teilnehmern
participantes	teilnehmer
instituciones	institutionen
monasterio	kloster
castro	castros
castro	castro
sean	sean
suecia	schweden
inicialmente	anfänglich
nota	anmerkung
nota	hinweis
nota	notiz
concurso	wettbewerb
seguir	weiter
seguir	folgen
marqués	marquis
altitud	höhenlage
altitud	höhe
peces	fische
planeta	planet
planeta	planeten
monumento	denkmal
israel	israel
marcha	marsch
representación	darstellung
representación	repräsentation
representación	vertretung
representación	repräsentanz
turismo	tourismus
publicaciones	beiträge
publicaciones	veröffentlichungen
publicaciones	publikationen
ingeniería	engineering
ingeniería	ingenieurwesen
frecuencia	häufigkeit
frecuencia	frequenz
semanas	wochen
basado	basiert
saber	wissen
olímpico	olympischer
utilizar	verwenden
piezas	teile
participar	teilnehmen
poner	setzen
corea	korea
borrado	gelöscht
carmen	carmen
religión	religion
técnicas	techniken
estaciones	jahreszeiten
estaciones	stationen
escuelas	schulen
elección	wahl
clases	klassen
completamente	völlig
vuelo	flug
xiii	xiii
parlamento	parlament
titular	inhaber
titular	schlagzeile
deja	lass
deja	hinterlässt
florida	florida
habría	gäbe
económico	ökonomisch
descrito	beschrieben
rápidamente	schnell
sabe	schmeckt
nave	schiff
posibilidad	möglichkeit
destaca	hebt
html	html
anderson	anderson
directo	direkte
directo	direkt
directo	direkter
directo	direktes
usado	gebraucht
usado	benutzt
usado	verwendet
sucesor	nachfolgerin
sucesor	nachfolger
presidencia	vorsitz
presidencia	präsidentschaft
contrario	entgegengesetzte
totalmente	vollständig
totalmente	völlig
oficialmente	amtlich
oficialmente	offiziell
volver	zurück
volver	zurückkehren
pista	spur
botánico	botanischen
botánico	botaniker
iglesias	kirchen
composición	zusammensetzung
composición	komposition
método	methode
concierto	konzert
cuarta	vierter
cuarta	vierte
agricultura	landwirtschaft
capaz	fähig
viejo	alt
viejo	altes
tratamiento	behandlung
palomar	taubenschlag
especiales	specials
nueve	neun
bosque	wald
ganado	vieh
ganado	gewonnen
ganado	viehbestand
carga	fracht
carga	ladung
quiere	möchte
letra	buchstabe
debutó	debütierte
necesidad	bedarf
necesidad	bedürfnis
necesidad	notwendigkeit
diócesis	diözese
diócesis	bistum
dejar	lassen
registro	registrieren
registro	register
registro	registrierung
regreso	comeback
duración	laufzeit
duración	dauer
complejo	komplex
acto	handlung
acto	akt
life	life
indica	indica
fundó	gründete
bandas	banden
bandas	bands
nicolás	nikolaus
nicolás	nicolas
arquitecto	architekt
convierte	wandelt
convierte	konvertiert
solar	solar
perdió	verlor
playa	strand
rango	dienstgrad
rango	rang
cantantes	sängerinnen
cantantes	sänger
arriba	oben
latina	lateinische
latina	latina
conseguir	erhalten
conseguir	bekommen
instalaciones	einrichtungen
vive	lebt
cosa	sache
louis	louis
derrota	niederlage
derrota	besiegen
vii	vii
king	king
sola	allein
sola	alleine
césar	cäsar
césar	caesar
césar	césar
urbano	städtisch
international	international
oriente	orient
campeones	meister
campeones	champions
leyes	gesetze
estructuras	strukturen
entrevista	interview
entrevista	vorstellungsgespräch
niveles	niveaus
arco	bogen
justo	gerecht
ficción	belletristik
ficción	fiktion
right	right
socialista	sozialistischen
socialista	sozialistische
socialista	sozialist
art	art
difícil	schwierig
difícil	schwieriges
difícil	schwer
difícil	schwierige
one	one
novelas	romanen
novelas	romane
conocidos	bekannt
conocidos	bekannte
conocidos	bekannten
super	super
discos	schallplatten
discos	scheiben
discos	platten
background	background
simple	einfaches
simple	einfache
simple	einfach
listas	listen
histórica	historischen
diputado	abgeordneter
ideas	ideen
ojos	augen
músico	musiker
busca	sucht
números	zahlen
números	nummern
destino	ziel
destino	reiseziel
destino	schicksal
destino	bestimmungsort
destino	zielort
contacto	kontakt
reforma	reform
carreras	karrieren
carreras	rennen
expedición	spedition
expedición	erteilung
expedición	expedition
invierno	überwintern
invierno	winter
llegaron	kamen
nadie	niemand
nadie	keiner
diferente	verschieden
diferente	unterschiedlich
diferente	anders
barrios	nachbarschaften
barrios	stadtteile
barrios	stadtviertel
cree	glaubt
ofrece	bietet
navarra	navarra
lanzó	warf
lanzó	startete
relevancia	relevanz
ancho	breite
ancho	breit
grabación	aufnahme
grabación	aufzeichnung
boca	mund
panamá	panama
universal	universal
universal	universell
completa	vollständig
completa	komplett
producido	produziert
producido	produzierte
variedad	sorte
variedad	vielfalt
dominio	domäne
dominio	domain
trabajadores	arbeitnehmer
trabajadores	arbeiter
star	star
valores	werten
valores	werte
propios	eigenen
movimientos	bewegungen
océano	ozean
promedio	durchschnitt
promedio	durchschnittliche
promedio	mittelwert
promedio	durchschnittlich
árabe	arabischen
árabe	arabische
árabe	arabisch
árabe	araber
aplicación	anwendung
ámbito	bereich
refiere	bezieht
famoso	berühmt
interpretación	interpretation
interpretación	dolmetschen
interpretación	auslegung
competición	wettkampf
competición	konkurrenz
terreno	grundstück
terreno	gelände
entró	trat
similares	ähnliche
similares	ähnlich
construir	bauen
construir	aufbauen
construir	konstruieren
toledo	toledo
periódico	zeitung
noticias	neuigkeiten
noticias	nachrichten
miss	miss
normalmente	normalerweise
trayectoria	flugbahn
piloto	piloten
piloto	pilot
abogado	rechtsanwalt
abogado	anwalt
chicago	chicago
figuras	figuren
clásico	klassisch
clásico	klassische
clásico	klassisches
clásico	klassiker
clásico	klassischen
ópera	oper
ópera	opern
candidato	kandidaten
candidato	kandidat
candidato	anwärter
debería	sollte
desarrollado	entwickelte
desarrollado	entwickelt
desarrollado	entwickelten
activo	aktiven
activo	aktive
activo	aktiv
irlanda	irland
detrás	hinter
xii	xii
descripción	beschreibung
aspecto	aussehen
aspecto	aspekt
solicita	erbittet
vídeo	video
henry	henry
conciertos	konzerte
vecinos	nachbarn
lorenzo	lorenzo
federico	federico
competencia	kompetenz
competencia	wettbewerb
competencia	zuständigkeit
competencia	konkurrenz
sky	sky
punta	spitze
fórmula	formel
fórmula	rezeptur
núcleo	kern
núcleo	kernel
illinois	illinois
galería	galerie
puso	setzte
humana	menschlich
cambiar	ändern
cambiar	umschalten
cambiar	wechseln
nelson	nelson
asturias	asturien
verdad	wahr
verdad	wahrheit
joaquín	joaquin
juventud	jugend
juventud	jüngling
golpe	schlag
avión	flugzeug
masa	masse
masa	teig
bosques	wälder
joseph	joseph
egipto	ägypten
intento	versuch
textos	texte
presentación	einreichung
presentación	aufmachung
presentación	vorstellung
presentación	präsentation
muerto	gestorben
muerto	tot
escribir	schreiben
escribir	schreibe
reserva	buchung
reserva	reserve
reserva	buchen
reserva	reservierung
live	live
árboles	bäume
comienzo	anfang
comienzo	beginn
denominación	stückelung
denominación	bezeichnung
hábitat	lebensraum
hábitat	habitat
unidas	vereinten
expresión	ausdruck
expresión	expression
ejecutivo	executive
ejecutivo	exekutive
portugués	portugiesisch
portugués	portugiese
portugués	portugiesische
bélgica	belgien
órdenes	befehle
ignacio	ignacio
dirigió	leitete
torneos	turniere
corto	kurze
corto	kurzes
corto	kurz
chileno	chilenischer
populares	populären
populares	beliebt
populares	populäre
populares	populär
populares	beliebte
science	science
clara	klare
clara	clara
normal	normale
normal	normal
búsqueda	suche
sello	stempel
sello	dichtung
sello	siegel
revistas	magazine
revistas	zeitschriften
teniente	lieutenant
teniente	leutnant
investigaciones	ermittlungen
investigaciones	untersuchungen
álvarez	alvarez
mark	mark
file	file
mendoza	mendoza
comerciales	kommerziellen
titulado	betitelt
residencia	wohnsitz
residencia	wohnheim
residencia	wohnort
residencia	residenz
jazz	jazz
indígenas	indigenen
indígenas	eingeborene
indígenas	indigene
massachusetts	massachusetts
jack	jack
café	kaffee
hierro	eisen
nuestro	unser
nuestro	unserer
nuestro	unsere
latín	lateinischen
latín	lateinische
latín	lateinisch
latín	latein
oposición	opposition
árbol	stammbaum
árbol	baum
global	globale
global	global
global	globales
escala	maßstab
escala	skalierung
escala	skala
muertos	getötet
muertos	tot
muertos	tote
valladolid	valladolid
bogotá	bogota
bogotá	bogotá
comunidades	gemeinwesen
pierre	pierre
marcos	rahmen
marcos	bilderrahmen
fama	ruhm
united	united
permitió	ermöglichte
permitió	gestattete
gabriel	gabriel
votación	stimmabgabe
votación	abstimmung
apenas	gerade
apenas	kaum
biografía	biographie
biografía	biografie
vino	wein
alonso	alonso
caída	sturz
sonora	sonora
encima	rüber
encima	herauf
visión	ansicht
visión	vision
visión	sehvermögen
arena	sand
arena	arena
límite	begrenzung
límite	grenzwert
entrar	eintreten
noruega	norwegen
canales	kanäle
canales	kanälen
materia	materie
roja	rote
data	data
regular	regulär
regular	regulieren
regular	regelmäßige
regular	regelmäßig
promoción	förderung
discográfica	plattenfirma
salir	ausgehen
salir	beenden
autoridad	behörde
autoridad	autorität
bellas	schönen
bellas	fine
caracas	caracas
comenzaron	begannen
accidente	unfall
accidente	absturz
medidas	massnahmen
medidas	maßnahmen
siguió	folgte
críticas	kritik
críticas	kritisiert
críticas	kritiken
asuntos	angelegenheiten
aviones	flugzeuge
conquista	eroberung
conquista	erobern
conquista	erobert
disputó	stritt
estoy	bin
cuartos	räume
células	zellen
alemanes	deutschen
alemanes	deutsche
laguna	lagune
montevideo	montevideo
protagonista	protagonist
protagonista	hauptdarsteller
pérdida	verlust
alma	seele
alma	alma
caballero	ritter
retiro	zurücknahme
retiro	ruhestand
retiro	abbau
enciclopedia	lexikon
enciclopedia	enzyklopädie
jaime	jaime
dinastía	dynastie
procesos	prozesse
salón	wohnzimmer
salón	aufenthaltsraum
ataques	angriffe
ataques	anfälle
ataques	anschläge
ataques	angriffen
tony	tony
tony	tonys
breve	kurze
breve	kurz
zip	zip
universo	universums
universo	universum
imperial	kaiserliche
imperial	imperial
bot	bot
são	são
emisión	sendung
emisión	emission
abajo	nieder
abajo	unten
abajo	runter
múltiples	mehrfache
múltiples	mehrere
homenaje	hommage
homenaje	ehrerbietung
guardia	wache
pantalla	bildschirm
pantalla	schirm
clásica	klassisch
clásica	klassische
clásica	klassischen
grabado	graviert
grabado	aufgenommen
grabado	gravur
corriente	strom
corriente	strömung
quinto	fünfter
quinto	fünfte
quinto	quintus
quinto	fünftes
legislatura	legislative
legislatura	legislaturperiode
legislatura	amtsperiode
legislatura	wahlperiode
puertas	tore
puertas	türen
ruiz	ruiz
disponible	verfügbare
disponible	vorhanden
disponible	verfügbar
disponible	erhältlich
ocasión	anlass
mantiene	hält
mantiene	unterhält
dulce	süss
dulce	süßes
profesores	lehrer
profesores	professoren
profesores	lehrkräfte
profesores	dozenten
posiciones	stellungen
posiciones	positionen
honduras	honduras
conferencia	vortrag
conferencia	konferenz
tom	tom
dvd	dvds
dvd	dvd
comentarios	bewertungen
comentarios	kommentare
comentarios	kommentar
reinado	regierungszeit
royal	royal
científico	wissenschaftlich
científico	wissenschaftler
científico	wissenschaftlichen
plano	flach
oportunidad	chance
oportunidad	gelegenheit
documentos	dokumenten
documentos	dokumente
viene	kommt
anual	jährliche
anual	jährlich
anual	jährlichen
elemento	element
destacado	sehenswerte
destacado	hervorgehoben
time	time
actos	handlungen
west	west
species	species
agustín	agustín
vega	vega
infantil	kindisch
escenario	szenario
escenario	bühne
comienzos	anfänge
brown	brown
flota	schwimmt
flota	flotte
css	css
atlántico	atlantischer
atlántico	atlantik
alexander	alexander
condición	bedingung
desarrolló	entwickelte
jones	jones
construida	gebaut
moscú	moskau
profesionales	fachleute
profesionales	professionell
profesionales	professionelle
profesionales	profis
quién	wer
aumento	zunahme
aumento	erhöhung
encontrado	gefunden
mejorar	verbessern
youtube	youtube
caja	box
caja	kasten
caja	kiste
guerras	kriege
guerras	kriegen
cabecera	header
cabecera	vorspann
territorial	territorialen
territorial	territorial
var	var
recién	frisch
responsable	verantwortlich
responsable	verantwortliche
responsable	verantwortlicher
cortes	schnitte
cortes	teilstücke
cortes	kerben
inglesa	engländerin
guadalajara	lippstadt
guadalajara	guadalajara
dedicado	gewidmet
dedicado	eingeweiht
org	org
instrumentos	instrumente
ciclo	zyklus
incluido	inbegriffen
incluido	enthalten
incluido	eingeschlossen
incluido	inklusive
señal	signal
williams	williams
murcia	murcia
vehículos	fahrzeuge
franceses	franzosen
hungría	ungarn
civiles	zivilisten
civiles	zivile
liberal	liberale
liberal	liberal
liberal	liberaler
catalán	katalanische
catalán	katalanisch
intención	absicht
intención	vorsatz
tropical	tropisches
tropical	tropischen
ejemplos	beispiele
secundaria	sekundär
secundaria	highschool
secundaria	sekundäre
xiv	xiv
realmente	wirklich
encontró	fand
doce	zwölf
americano	amerikanisch
burgos	burgos
recientemente	kürzlich
instrumento	instrument
salamanca	salamanca
ayudar	helfen
portada	cover
portada	titelbild
portada	titelseite
identidad	identität
pasajeros	fahrgäste
pasajeros	passagiere
pasajeros	fluggäste
suficiente	ausreichend
suficiente	genug
mezcla	mischung
mezcla	mischen
mezcla	gemisch
buscar	suchen
buscar	suche
infantería	infanterie
construyó	baute
culto	kult
culto	verehrung
historias	geschichten
historias	stories
big	big
pies	füsse
pies	füße
pies	füssen
ida	adi
ida	ida
metropolitana	mutterland
metropolitana	metropolitan
url	url
url	urls
recorrido	spielraum
comunista	kommunist
comunista	kommunistisch
comunista	kommunistischen
comunista	kommunistin
leyenda	legende
leyenda	bildunterschrift
comedia	komödie
mañana	morgen
tomás	thomas
tomás	tomás
fotografía	fotografie
fotografía	fotographie
romanos	römer
etiqueta	tag
etiqueta	etikett
etiqueta	beschriftung
etiqueta	markierung
ohio	ohio
cable	kabel
mensaje	meldung
mensaje	nachricht
hugo	hugo
décadas	dekaden
décadas	jahrzehnten
décadas	jahrzehntelange
décadas	jahrzehnte
poderes	befugnisse
permanente	dauerhaft
permanente	permanent
anime	anime
química	chemische
química	chemie
plataforma	plattform
razones	gründe
poblaciones	populationen
potencia	leistung
potencia	potenz
espíritu	geist
espíritu	geistes
pro	pro
artístico	künstlerisch
artístico	künstlerischen
house	house
vivió	lebte
rol	rolle
misiones	dienstreisen
misiones	missionen
misiones	quests
princesa	prinzessin
audiencia	anhörung
audiencia	publikum
entrega	übergabe
entrega	lieferung
entrega	anlieferung
valign	valign
invasión	invasion
invasión	einmarsch
límites	grenzwerte
límites	begrenzungen
límites	grenzen
asteroides	asteroiden
reconocido	anerkannte
reconocido	erkannt
reconocido	anerkannt
reconocido	anerkanntes
corta	kurze
corta	schneidet
reunión	treffen
reunión	besprechung
reunión	sitzung
estándar	standard
representantes	vertreter
representantes	repräsentanten
frank	frank
programación	programmplanung
programación	programmieren
programación	programmierung
entidad	entität
compañeros	kollegen
compañeros	gefährten
animal	tier
recibido	erhielt
recibido	eingegangen
recibido	empfangen
recibido	erhalten
grand	grand
escultura	skulptur
escultura	bildhauerei
saga	saga
destacar	highlight
destacar	hervorheben
motivos	motive
introducción	einleitung
introducción	einführung
fuertes	starke
fuertes	stark
fuertes	starken
bases	basen
sureste	südost
sureste	südosten
bretaña	bretagne
chino	chinesischen
chino	chinesische
chino	chinesisch
viii	viii
récord	rekord
récord	rekorde
fauna	fauna
raíz	wurzel
raíz	root
profundidad	tiefe
sirve	dient
crea	erzeugt
crea	erstelle
científicos	wissenschaftler
cabe	paßt
history	history
universidades	hochschulen
universidades	universitäten
termina	endet
ciudadanos	bürger
símbolo	symbol
copias	kopien
copias	exemplare
virginia	virginia
primaria	primär
primaria	primäre
distritos	bezirke
distritos	distrikte
rápido	schnelle
rápido	schnell
list	list
moderno	modernen
moderno	modern
moderno	moderner
moderno	modernes
moderno	moderne
moreno	moreno
destacados	highlights
destacados	sehenswerte
pocas	wenige
paulo	paulo
pobreza	armut
fachada	fassade
error	fehler
error	irrtum
ministros	ministern
ventas	vertrieb
ventas	verkäufe
conservación	erhaltung
conservación	aufbewahrung
conservación	konservierung
cambió	änderte
cambió	wechselte
scott	scott
contexto	kontext
propiedades	eigenschaften
historiador	historiker
enfermedades	krankheiten
prácticamente	praktisch
cola	endstück
cola	warteschlange
encyclopedia	encyclopedia
constante	konstante
constante	stetig
constante	konstant
asesinato	ermordung
asesinato	tötung
asesinato	mord
cádiz	cadiz
natal	natal
celebra	feiert
juntos	zusammen
juntos	gemeinsam
individuales	einzelnen
individuales	einzelne
fábrica	werk
fábrica	fabrik
machos	männchen
title	title
hacienda	finanzamt
chan	chan
sufrió	litt
sufrió	erlitt
restauración	restauration
restauración	wiederherstellung
restauración	restaurierung
cargos	anklagen
cargos	anklage
prisión	gefängnis
inicios	anfänge
dedicada	gewidmet
dedicada	engagierte
religiosos	religiösen
pintores	maler
filipinas	philippinen
intervención	einschreiten
intervención	eingreifen
intervención	intervention
juicio	prozeß
juicio	verhandlung
escenas	szenen
europeos	europäer
permaneció	verblieb
documental	dokumentarfilm
expansión	expandieren
expansión	expansion
convertido	bekehrt
convertido	konvertiert
convertido	umgewandelt
entrenadores	coaches
entrenadores	trainern
igualmente	ebenso
igualmente	gleichfalls
tradicionales	traditionellen
tradicionales	traditionelle
tradicionales	traditionell
pan	brot
pan	brötchen
quinta	fünfter
quinta	fünfte
trono	thron
noreste	nordost
noreste	nordöstlich
noreste	nordosten
inmediatamente	sofort
inmediatamente	unverzüglich
riesgo	risiko
desambiguación	begriffsklärung
hablar	sprechen
hablar	reden
inicia	startet
windows	windows
ermita	ermita
caza	jagen
caza	jagd
reacción	reaktion
reacción	rückmeldung
humanidad	menschlichkeit
humanidad	humanität
guerrero	krieger
guerrero	guerrero
seguido	gefolgt
seguido	folgte
tramo	tranche
uefa	uefa
representante	repräsentant
representante	vertreter
empieza	beginnt
rugby	rugby
chris	chris
dakota	dakota
galicia	galicien
galicia	galizien
max	max
pensilvania	pennsylvania
cubierta	abdeckung
cubierta	deck
perfil	profil
escocia	schottland
png	png
definición	definition
definición	begriffsbestimmung
simon	simon
establecer	festlegen
amarillo	gelb
amarillo	gelbe
piel	haut
piel	pelz
sergio	sergio
primavera	frühling
primavera	frühjahr
primavera	frühlings
mariano	mariano
gas	gas
that	that
solución	lösung
diferencias	differenzen
diferencias	unterschiede
dominicana	dominikanische
dimensiones	abmessungen
dimensiones	maße
dimensiones	dimensionen
objetivos	ziele
objetivos	zielsetzungen
fusión	verschmelzung
fusión	fusion
fusión	zusammenführen
fusión	zusammenführung
coro	chor
eje	achse
america	america
mary	mary
regimiento	regiment
regimiento	regiments
formando	bildend
php	php
canto	gesang
canto	singe
licencia	lizenziert
licencia	lizenz
idiomas	sprachen
directa	direkte
viena	wien
bolívar	bolivar
posiblemente	möglicherweise
continente	festland
continente	kontinent
cartas	briefe
corrientes	ströme
corrientes	strömungen
corrientes	strömen
poemas	gedichte
presentado	eingereicht
presentado	vorgestellt
presentado	präsentiert
facebook	facebook
palma	palma
enemigo	feind
cielo	himmel
dinamarca	dänemark
excepto	außer
excepto	ausser
excepto	ausgenommen
minnesota	minnesota
producir	produzieren
pico	schnabel
pico	pico
conserva	behält
arma	waffe
arma	gewehr
cementerio	friedhof
resolución	auflösung
resolución	resolution
resolución	entschließung
peña	peña
violencia	gewalttätigkeit
violencia	gewalt
describe	beschreibe
describe	beschreibt
terminología	fachbegriffe
terminología	terminologie
adaptación	portierung
adaptación	anpassung
voces	stimmen
bob	bob
bob	bobs
individual	individuell
individual	individuelle
individual	einzeln
soy	bin
once	elf
once	once
esperanza	hoffen
esperanza	hoffnung
consumo	verbrauch
compañero	kamerad
compañero	begleiter
medieval	mittelalterlichen
medieval	mittelalterliche
medieval	mittelalterliches
sudáfrica	südafrika
teresa	therese
teresa	teresa
firmó	unterschrieb
firmó	unterzeichnete
agente	agentin
agente	agenten
agente	agent
alumnos	schüler
cuentos	erzählungen
impacto	auswirkung
impacto	aufprall
impacto	auswirkungen
alfredo	alfredo
trabajando	arbeitend
emilio	emilio
kansas	kansas
blue	blue
secreto	geheim
secreto	geheimnis
secreto	heimlich
propósito	zweck
colombiano	kolumbianischer
llamó	rief
north	north
peligro	gefahr
latino	latino
rama	ast
rama	zweig
argentinos	argentinier
característica	merkmal
característica	charakteristik
raúl	raul
raúl	raoul
mantenimiento	wartung
mantenimiento	instandhaltung
morales	morales
morales	moralischen
dieron	gaben
estudiar	studieren
society	society
comentario	anmerkung
comentario	kommentar
ramírez	ramirez
circuito	schaltung
circuito	schaltkreis
sexual	sexuell
sexual	sexuellen
libres	frei
llevado	getragen
planes	pläne
jackson	jacksons
jackson	jackson
enemigos	feinde
fácil	einfaches
fácil	einfache
fácil	einfach
fácil	kinderspiel
fácil	leicht
silva	silva
compositores	komponisten
diámetro	durchmesser
éxitos	erfolge
artística	künstlerische
victorias	siege
puestos	stellen
pieza	stück
científica	wissenschaftlich
científica	wissenschaftlerin
guía	anleitung
guía	führer
guía	leitfaden
arturo	arthur
arturo	artus
frase	phrase
frase	satz
cuerpos	leichen
renta	einkommen
negocios	geschäftlich
ben	ben
excepción	ausnahme
gustavo	gustavo
nace	nace
funcionamiento	durchlauf
funcionamiento	funktionsweise
víctimas	opfern
víctimas	opfer
cita	verabredung
cita	zitat
cita	date
cita	zitiert
terminar	beenden
guitarrista	gitarrist
guitarrista	gitarristen
ciertos	bestimmte
turquía	türkei
triunfo	trumpf
triunfo	triumph
llegado	angekommen
walter	walter
young	young
cristianos	christen
gutiérrez	gutiérrez
cantabria	kantabrien
descubierto	aufgedeckt
descubierto	entdeckt
