вчера yesterday
смешанные mixed
призы prizes
призы trophies
адамс adams
мятеж revolt
мятеж mutiny
мятеж rebellion
социальное social
просмотр browse
просмотр viewing
просмотр browsing
просмотр view
подъёма vowel
максимальное maximal
максимальное maximum
рика rick
рика rica
телефоны phones
телефоны telephones
неизвестный unknown
социалистов socialists
шарлотта charlotte
буш bush
тайвань taiwan
миф myth
убежище shelter
убежище sanctuary
убежище asylum
убежище refuge
мышь mouse
тенденция trend
тенденция tendency
кузьмин kuzmin
биг big
биг bih
тезис thesis
богини goddesses
потребности needs
потребности requirements
автомат automaton
катера boats
кен ken
дольше longer
подтверждена confirmed
координации coordinate
рождество christmas
рождество xmas
ральф ralf
ральф ralph
стандартный standard
отделений offices
отделений branches
